ticker,BGGSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7296
2000-01-04,-4.4794
2000-01-05,1.9011
2000-01-06,-0.3731
2000-01-07,0.1248
2000-01-10,2.2444
2000-01-11,1.2195
2000-01-12,-1.8072
2000-01-13,1.4724
2000-01-14,0.1209
2000-01-18,-2.0531
2000-01-19,-1.7263
2000-01-20,-3.0113
2000-01-21,-0.6468
2000-01-24,-2.3438
2000-01-25,-3.2
2000-01-26,-0.8264
2000-01-27,-0.8333
2000-01-28,0.5602
2000-01-31,-1.1142
2000-02-01,-0.4225
2000-02-02,-1.8388
2000-02-03,-0.2882
2000-02-04,-0.578
2000-02-07,-0.436
2000-02-08,-2.4818
2000-02-09,-3.2934
2000-02-10,-2.0124
2000-02-11,-3.4755
2000-02-14,0.3273
2000-02-15,0.4894
2000-02-16,-0.8117
2000-02-17,-1.8003
2000-02-18,-3.1667
2000-02-22,3.0981
2000-02-23,-0.6678
2000-02-24,-5.7143
2000-02-25,-1.7825
2000-02-28,-0.7623
2000-02-29,-1.2915
2000-03-01,0.3738
2000-03-02,-2.2346
2000-03-03,2.8571
2000-03-06,-2.5926
2000-03-07,-1.3308
2000-03-08,-0.1927
2000-03-09,-1.1583
2000-03-10,-2.1484
2000-03-13,5.5888
2000-03-14,5.104
2000-03-15,14.0288
2000-03-16,7.8864
2000-03-17,-3.6550000000000002
2000-03-20,-1.0622
2000-03-21,-0.9202
2000-03-22,-0.9288
2000-03-23,1.7187999999999999
2000-03-24,-0.768
2000-03-27,-0.9288
2000-03-28,-1.25
2000-03-29,0.3165
2000-03-30,3.3123
2000-03-31,0.458
2000-04-03,-1.3678
2000-04-04,0.4622
2000-04-05,0.1534
2000-04-06,0.1531
2000-04-07,-2.1407
2000-04-10,-3.75
2000-04-11,2.5974
2000-04-12,3.3228
2000-04-13,1.072
2000-04-14,-4.8485
2000-04-17,-6.5287
2000-04-18,4.77
2000-04-19,0.1626
2000-04-20,-1.2987
2000-04-24,1.4803
2000-04-25,3.7277
2000-04-26,-4.375
2000-04-27,-0.1634
2000-04-28,0.491
2000-05-01,2.443
2000-05-02,1.2719
2000-05-03,0.471
2000-05-04,0.1563
2000-05-05,-2.1841
2000-05-08,-0.1595
2000-05-09,0.639
2000-05-10,-1.2698
2000-05-11,2.7331
2000-05-12,0.626
2000-05-15,0.6221
2000-05-16,1.5455999999999999
2000-05-17,-1.0654
2000-05-18,-1.8462
2000-05-19,-0.7837
2000-05-22,-0.158
