ticker,GSFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-30,-50.0
2009-05-08,100.0
2009-05-21,910.0
2009-05-26,4.9505
2009-06-01,0.0
2009-06-12,-88.6792
2009-06-15,1025.0
2009-06-16,-11.8519
2009-06-17,0.0
2009-06-22,-57.1429
2009-06-23,0.0
2009-06-26,-50.9804
2009-06-30,0.0
2009-07-01,-40.0
2009-07-07,126.6667
2009-07-09,47.0588
2009-07-14,30.0
2009-07-20,0.0
2009-07-24,55.3846
2009-07-28,-25.7426
2009-08-06,-69.3333
2009-08-07,52.1739
2009-08-10,2.8571
2009-08-12,80.5556
2009-08-13,-20.0
2009-08-14,25.0
2009-08-17,12.3077
2009-08-18,-30.137
2009-08-19,-1.9607999999999999
2009-08-20,10.0
2009-08-21,0.0
2009-08-24,-7.2727
2009-08-25,0.0
2009-08-26,35.2941
2009-08-27,-13.0435
2009-08-28,-10.0
2009-08-31,1.8519
2009-09-01,16.3636
2009-09-02,1.5625
2009-09-03,3.0769
2009-09-04,0.0
2009-09-08,1.4925
2009-09-09,2.9412000000000003
2009-09-10,2.5714
2009-09-11,16.9916
2009-09-14,-7.381
2009-09-15,-3.599
2009-09-16,-2.6667
2009-09-17,-4.1096
2009-09-18,81.4286
2009-09-21,-38.5827
2009-09-22,-20.5128
2009-09-23,-1.6129
2009-09-24,-18.0328
2009-09-25,6.0
2009-09-28,11.3208
2009-09-29,-5.9322
2009-09-30,-17.1171
2009-10-01,0.0
2009-10-02,20.6522
2009-10-05,-17.1171
2009-10-06,-2.1739
2009-10-07,6.6667
2009-10-08,0.0
2009-10-09,-14.5833
2009-10-12,2.439
2009-10-13,-4.7619
2009-10-14,0.0
2009-10-15,-12.5
2009-10-16,-5.7143
2009-10-19,3.0303
2009-10-20,-14.7059
2009-10-21,18.9655
2009-10-22,-13.0435
2009-10-23,-13.3333
2009-10-26,-15.3846
2009-10-27,-13.6364
2009-10-28,-2.6316
2009-10-29,-24.3243
2009-10-30,7.1429
2009-11-02,0.0
2009-11-03,53.3333
2009-11-04,-17.3913
2009-11-05,-21.0526
2009-11-09,0.0
2009-11-10,-6.6667
2009-11-11,0.0
2009-11-12,0.0
2009-11-13,7.1429
2009-11-16,0.0
2009-11-17,23.3333
2009-11-18,-8.1081
2009-11-19,2.9412000000000003
2009-11-20,0.0
2009-11-23,2.8571
2009-11-24,-11.1111
2009-11-25,-6.25
2009-11-27,10.0
2009-11-30,0.0
2009-12-01,3.0303
2009-12-02,0.0
