ticker,KNSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-28,14.6875
2016-07-29,-0.436
2016-08-01,0.7663
2016-08-02,1.032
2016-08-03,-1.8817
2016-08-04,0.4932
2016-08-05,2.5627
2016-08-08,3.0835
2016-08-09,1.1346
2016-08-10,-0.102
2016-08-11,0.3063
2016-08-12,-1.2214
2016-08-15,2.1123
2016-08-16,-1.8668
2016-08-17,0.8226
2016-08-18,0.5609
2016-08-19,1.1156
2016-08-22,3.8616
2016-08-23,-1.3037
2016-08-24,-2.1526
2016-08-25,0.0
2016-08-26,2.3
2016-08-29,-0.1466
2016-08-30,0.4405
2016-08-31,1.3645
2016-09-01,-1.2981
2016-09-02,-0.678
2016-09-06,2.0558
2016-09-07,1.6338
2016-09-08,0.8038
2016-09-09,-1.5009000000000001
2016-09-12,-1.5714000000000001
2016-09-13,-2.419
2016-09-14,0.497
2016-09-15,1.2364
2016-09-16,-3.2242
2016-09-19,2.2716
2016-09-20,1.8756
2016-09-21,0.5329
2016-09-22,0.241
2016-09-23,3.4615
2016-09-26,0.6041
2016-09-27,2.0323
2016-09-28,1.0865
2016-09-29,-4.4783
2016-09-30,3.1411
2016-10-03,2.9091
2016-10-04,-1.7668
2016-10-05,-2.9676
2016-10-06,-1.7146
2016-10-07,-1.1787
2016-10-10,0.9542
2016-10-11,1.3233
2016-10-12,1.306
2016-10-13,0.8748
2016-10-14,-0.3195
2016-10-17,1.7399
2016-10-18,2.6553
2016-10-19,-0.3069
2016-10-20,0.088
2016-10-21,-1.2302
2016-10-24,0.089
2016-10-25,0.6667
2016-10-26,0.4415
2016-10-27,-0.1319
2016-10-28,0.4401
2016-10-31,5.39
2016-11-01,-3.368
2016-11-02,0.3012
2016-11-03,-1.3299
2016-11-04,4.5217
2016-11-07,-2.5374
2016-11-08,2.3047
2016-11-09,0.5841
2016-11-10,5.0187
2016-11-11,6.0427
2016-11-14,2.3464
2016-11-15,-0.5459
2016-11-16,-4.6835
2016-11-17,2.4568
2016-11-18,2.0607
2016-11-21,2.7533
2016-11-22,1.5363
2016-11-23,0.95
2016-11-25,0.3137
2016-11-28,-1.8068
2016-11-29,-0.92
2016-11-30,2.0036
2016-12-01,-4.7001
2016-12-02,0.184
2016-12-05,3.5268
2016-12-06,4.7905999999999995
2016-12-07,1.2191
2016-12-08,0.6357
2016-12-09,1.1636
2016-12-12,0.5258
2016-12-13,-1.9287
2016-12-14,-0.6333
2016-12-15,1.7779
2016-12-16,2.2742
