ticker,MTPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,33.3333
2000-01-07,-25.0
2000-01-13,0.0
2000-01-14,100.0
2000-01-18,0.0
2000-01-20,0.0
2000-01-21,0.0
2000-01-28,0.0
2000-02-08,0.0
2000-02-11,100.0
2000-02-14,0.0
2000-02-22,0.0
2000-02-23,15.0
2000-02-24,-2.1739
2000-02-25,-3.7037
2000-02-28,-23.0769
2000-02-29,-40.0
2000-03-06,33.3333
2000-03-07,62.5
2000-03-08,0.0
2000-03-10,-7.6923
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,33.3333
2000-03-16,-12.5
2000-03-17,-14.2857
2000-03-20,-16.6667
2000-03-21,-30.0
2000-03-22,42.8571
2000-03-23,20.0
2000-03-24,33.3333
2000-03-27,-37.5
2000-03-28,0.0
2000-03-29,-10.0
2000-03-30,-33.3333
2000-04-03,-10.0
2000-04-04,29.6296
2000-04-05,0.0
2000-04-06,0.0
2000-04-07,-22.8571
2000-04-10,-11.1111
2000-04-11,25.0
2000-04-14,-20.0
2000-04-17,0.0
2000-04-18,20.8333
2000-04-24,-31.0345
2000-04-26,0.0
2000-04-28,125.0
2000-05-04,-33.3333
2000-05-10,33.3333
2000-05-15,-25.0
2000-05-18,33.3333
2000-05-30,-25.0
2000-06-06,0.0
2000-06-08,-16.6667
2000-07-06,-40.0
2000-07-07,33.3333
2000-07-12,-25.0
2000-08-28,0.0
2000-09-05,6.6667
2000-09-19,25.0
2000-09-21,0.0
2000-10-06,-25.0
2000-10-12,-33.3333
2000-10-13,0.0
2000-10-17,0.0
2000-10-18,0.0
2000-10-24,0.0
2000-11-02,90.0
2000-11-24,-47.3684
2000-12-01,0.0
2000-12-07,-50.0
2000-12-11,-40.0
2000-12-13,400.0
2000-12-29,-66.6667
2001-01-03,0.0
2001-05-09,20.0
2001-05-17,66.6667
2001-05-18,0.0
2001-05-22,-40.0
2001-05-24,0.0
2001-05-25,0.0
2001-06-06,16.6667
2001-06-14,0.0
2001-06-20,-57.1429
2001-06-26,300.0
2001-12-05,-79.1667
2001-12-07,0.0
2001-12-19,0.0
2001-12-28,-60.0
2002-01-25,0.0
2002-01-30,0.0
2002-02-14,0.0
2002-02-26,0.0
2002-03-26,0.0
2002-04-10,0.0
2002-04-17,0.0
2002-07-08,0.0
2002-07-16,0.0
2002-08-08,0.0
2002-08-27,0.0
2002-09-13,0.0
2002-10-09,0.0
2002-10-11,-87.5
2002-10-14,300.0
2002-10-15,100.0
