ticker,EVOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.8824
2000-01-04,-7.6389
2000-01-05,-3.7594
2000-01-06,0.0
2000-01-07,3.125
2000-01-10,9.8485
2000-01-11,-10.3448
2000-01-12,3.0769
2000-01-13,0.0
2000-01-14,2.2388
2000-01-18,10.9489
2000-01-19,-2.6316
2000-01-20,-2.7027
2000-01-21,0.0
2000-01-24,-4.8611
2000-01-25,0.0
2000-01-26,37.9562
2000-01-27,2.1164
2000-01-28,-6.7358
2000-01-31,10.0
2000-02-01,1.5152
2000-02-02,5.4726
2000-02-03,-1.8868
2000-02-04,-3.8462
2000-02-07,5.0
2000-02-08,-5.7143
2000-02-09,5.5556
2000-02-10,1.4354
2000-02-11,-0.9434
2000-02-14,12.381
2000-02-15,-3.3898
2000-02-16,-1.7544
2000-02-17,-1.7856999999999998
2000-02-18,3.6364
2000-02-22,-3.5088
2000-02-23,3.6364
2000-02-24,-1.7544
2000-02-25,-1.7856999999999998
2000-02-28,-0.4545
2000-02-29,1.3699
2000-03-01,-9.9099
2000-03-02,-6.0
2000-03-03,-2.1277
2000-03-06,-3.2609
2000-03-07,-2.2472
2000-03-08,-4.5977
2000-03-09,1.2048
2000-03-10,0.0
2000-03-13,-8.3333
2000-03-14,3.8961
2000-03-15,-6.25
2000-03-16,8.6667
2000-03-17,-3.0675
2000-03-20,-5.0633
2000-03-21,0.0
2000-03-22,2.6667
2000-03-23,4.5455
2000-03-24,0.0
2000-03-27,-0.6211
2000-03-28,0.0
2000-03-29,-0.625
2000-03-30,-4.4025
2000-03-31,0.0
2000-04-03,-12.5
2000-04-04,-0.7519
2000-04-05,-4.5455
2000-04-06,12.6984
2000-04-07,2.8169
2000-04-10,-2.7397
2000-04-11,1.4085
2000-04-12,-5.5556
2000-04-13,0.0
2000-04-14,-32.3529
2000-04-17,21.7391
2000-04-18,10.7143
2000-04-19,25.8065
2000-04-20,-23.7179
2000-04-24,12.605
2000-04-25,-8.9552
2000-04-26,-18.0328
2000-04-27,27.0
2000-04-28,7.0866
2000-05-01,-15.4412
2000-05-02,20.0
2000-05-03,-7.2464
2000-05-04,-11.7188
2000-05-05,-4.4248
2000-05-08,-7.4074
2000-05-09,-2.0
2000-05-10,-16.3265
2000-05-11,3.6585
2000-05-12,1.1764999999999999
2000-05-15,2.907
2000-05-16,1.6949
2000-05-17,-4.4444
2000-05-18,-1.1628
2000-05-19,-8.2353
2000-05-22,1.2821
2000-05-23,-6.3291
