ticker,DXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-23,-9.5455
2010-11-24,5.5276
2010-11-26,1.9048
2010-11-29,2.3364
2010-11-30,0.5479
2010-12-01,-1.2716
2010-12-02,-2.4839
2010-12-03,1.1320999999999999
2010-12-06,-0.1866
2010-12-07,-1.8692
2010-12-08,-0.9524
2010-12-09,1.3462
2010-12-10,-2.0873
2010-12-13,-1.2597
2010-12-14,-1.8646
2010-12-15,-0.9
2010-12-16,-1.6145
2010-12-17,0.0
2010-12-20,-2.5641
2010-12-21,-1.0526
2010-12-22,-4.6809
2010-12-23,0.4464
2010-12-27,2.4444
2010-12-28,-2.3861
2010-12-29,-0.2222
2010-12-30,-0.8909
2010-12-31,2.9213
2011-01-03,2.6201
2011-01-04,-6.7021
2011-01-05,-6.1574
2011-01-06,-4.3742
2011-01-07,0.3812
2011-01-10,1.2658
2011-01-11,3.75
2011-01-12,0.7229
2011-01-13,2.7512
2011-01-14,-2.4447
2011-01-18,-4.8926
2011-01-19,1.2547
2011-01-20,-5.824
2011-01-21,1.3158
2011-01-24,0.3896
2011-01-25,-4.7865
2011-01-26,-11.9565
2011-01-27,-8.9506
2011-01-28,-1.6949
2011-01-31,1.2069
2011-02-01,3.7479
2011-02-02,0.0
2011-02-03,-0.3284
2011-02-04,-0.659
2011-02-07,-6.9652
2011-02-08,-1.7825
2011-02-09,-3.0853
2011-02-10,-4.6815999999999995
2011-02-11,1.1788
2011-02-14,0.7767
2011-02-15,5.5877
2011-02-16,2.7372
2011-02-17,1.421
2011-02-18,-5.2539
2011-02-22,-4.9908
2011-02-23,-3.5019
2011-02-24,-1.6129
2011-02-25,-2.459
2011-02-28,-2.9412000000000003
2011-03-01,-2.5974
2011-03-02,0.2222
2011-03-03,1.5521
2011-03-04,-1.7467000000000001
2011-03-07,-8.8889
2011-03-08,1.2195
2011-03-09,3.1325
2011-03-10,-1.8692
2011-03-11,1.6667
2011-03-14,3.7471
2011-03-15,-3.386
2011-03-16,1.1449
2011-03-17,2.7951
2011-03-18,-1.1236
2011-03-21,1.1364
2011-03-22,0.4494
2011-03-23,1.1186
2011-03-24,0.661
2011-03-25,3.9589
2011-03-28,-5.9197
2011-03-29,3.3708
2011-03-30,7.1739
2011-03-31,3.854
2011-04-01,-5.0781
2011-04-04,-0.2058
2011-04-05,1.0309
2011-04-06,-2.449
2011-04-07,-6.4984
2011-04-08,0.909
2011-04-11,-1.3304
2011-04-12,-1.1236
2011-04-13,-2.9545
