ticker,HDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-27,3.6667
2013-06-28,0.6967
2013-07-01,0.6919
2013-07-02,1.0042
2013-07-03,1.4129
2013-07-05,1.1868
2013-07-08,0.9689
2013-07-09,-0.1515
2013-07-10,-1.3657
2013-07-11,-1.0256
2013-07-12,0.1554
2013-07-15,-0.0517
2013-07-16,-0.3106
2013-07-17,-1.0903
2013-07-18,2.4147
2013-07-19,4.3567
2013-07-22,2.2593
2013-07-23,3.2181
2013-07-24,0.698
2013-07-25,-1.6174
2013-07-26,0.4697
2013-07-29,-0.8883
2013-07-30,0.9434
2013-07-31,0.1869
2013-08-01,2.9851
2013-08-02,2.2192
2013-08-05,1.9052
2013-08-06,1.7391
2013-08-07,-0.5128
2013-08-08,-0.043
2013-08-09,-0.8165
2013-08-12,1.6898
2013-08-13,1.8321
2013-08-14,-0.9623
2013-08-15,-3.6333
2013-08-16,1.6221
2013-08-19,-2.1139
2013-08-20,2.468
2013-08-21,0.5161
2013-08-22,-0.1284
2013-08-23,0.8997
2013-08-26,1.104
2013-08-27,-3.9059
2013-08-28,-0.0437
2013-08-29,0.7433
2013-08-30,-1.3021
2013-09-03,1.1873
2013-09-04,0.9126
2013-09-05,3.1438
2013-09-06,0.0
2013-09-09,3.3319
2013-09-10,-11.2373
2013-09-11,0.9696
2013-09-12,2.3895
2013-09-13,0.7045
2013-09-16,0.0875
2013-09-17,0.699
2013-09-18,0.3037
2013-09-19,0.9516
2013-09-20,-2.5278
2013-09-23,-3.3846
2013-09-24,1.8197999999999999
2013-09-25,-1.0277
2013-09-26,1.4447
2013-09-27,-1.9582000000000002
2013-09-30,-0.2724
2013-10-01,1.1379
2013-10-02,0.8101
2013-10-03,-1.1161
2013-10-04,0.2257
2013-10-07,-1.4865
2013-10-08,-3.5665
2013-10-09,-1.1854
2013-10-10,0.8637
2013-10-11,-0.0951
2013-10-14,1.4762
2013-10-15,-3.9417999999999997
2013-10-16,-0.4885
2013-10-17,0.7855
2013-10-18,2.0945
2013-10-21,-1.7176
2013-10-22,3.8447
2013-10-23,-1.2715
2013-10-24,2.6042
2013-10-25,2.2612
2013-10-28,-2.1661
2013-10-29,0.2306
2013-10-30,-3.4975
2013-10-31,-3.7196
2013-11-01,-1.7335
2013-11-04,2.2177
2013-11-05,2.5641
2013-11-06,-2.4904
2013-11-07,-2.8695
2013-11-08,0.6599
2013-11-11,1.0086
2013-11-12,-0.2996
2013-11-13,1.6024
2013-11-14,1.1828
