ticker,NWCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-07,0.0
2008-01-08,0.0
2008-01-09,0.0
2008-01-14,3.0303
2008-01-15,0.7353
2008-01-16,0.0
2008-01-18,0.0
2008-01-22,0.0
2008-01-25,0.7299
2008-01-29,1.4493
2008-01-31,7.1429
2008-02-01,3.3333
2008-02-04,3.871
2008-02-05,19.8758
2008-02-06,6.2176
2008-02-07,3.4146
2008-02-08,2.3585
2008-02-11,0.4608
2008-02-12,1.3761
2008-02-13,0.4525
2008-02-14,4.955
2008-02-15,0.8584
2008-02-19,-0.8511
2008-02-21,1.7167
2008-02-22,1.2658
2008-02-25,-0.4167
2008-02-26,-0.4184
2008-02-27,0.0
2008-02-28,-1.6806999999999999
2008-02-29,1.7094
2008-03-03,0.4202
2008-03-04,-0.4184
2008-03-05,-0.4202
2008-03-06,0.4219
2008-03-07,-5.4622
2008-03-10,-2.2222
2008-03-11,2.2727
2008-03-12,0.0
2008-03-13,0.0
2008-03-14,0.0
2008-03-18,-8.8889
2008-03-19,4.878
2008-03-20,0.0
2008-03-24,-2.3256
2008-03-25,0.0
2008-03-26,-13.8095
2008-03-27,-6.0773
2008-03-28,23.5294
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,0.0
2008-04-03,-2.3810000000000002
2008-04-04,1.4634
2008-04-07,0.0
2008-04-10,-11.0577
2008-04-11,5.4054
2008-04-14,-7.1795
2008-04-18,2.2099
2008-04-22,8.1081
2008-04-23,0.0
2008-04-24,1.0
2008-04-25,0.0
2008-04-28,-0.9901
2008-04-29,15.0
2008-04-30,15.2174
2008-05-01,-3.3962
2008-05-02,-2.3438
2008-05-05,-0.4
2008-05-06,5.6225000000000005
2008-05-07,0.7605
2008-05-08,0.0
2008-05-09,3.0189
2008-05-12,3.2967
2008-05-13,4.6099
2008-05-14,3.3898
2008-05-15,0.6557
2008-05-16,2.9316
2008-05-19,2.2152
2008-05-20,3.096
2008-05-21,1.2012
2008-05-22,-2.0772
2008-05-23,0.6061
2008-05-27,0.3012
2008-05-28,1.2012
2008-05-29,0.5935
2008-05-30,3.2448
2008-06-02,1.1429
2008-06-03,-1.1299
2008-06-04,4.2857
2008-06-05,0.5479
2008-06-06,-0.545
2008-06-10,1.3699
2008-06-11,1.3514
2008-06-12,2.6667
2008-06-13,-1.2987
2008-06-16,-3.9474
2008-06-17,1.3699
2008-06-18,-5.4054
2008-06-19,0.0
2008-06-20,0.0
2008-06-24,-8.5714
2008-06-25,3.125
