ticker,PZOO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-18,-33.3333
2012-07-19,0.0
2012-07-20,35.0
2012-07-23,7.4074
2012-07-24,3.4483
2012-07-25,39.9167
2012-07-26,30.9708
2012-07-27,-1.4097
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,9.2251
2012-08-03,6.4189
2012-08-06,0.0
2012-08-07,1.5873
2012-08-08,3.125
2012-08-09,-1.5152
2012-08-10,1.5385
2012-08-13,-3.0303
2012-08-14,-4.6875
2012-08-15,-8.1967
2012-08-17,12.5
2012-08-20,11.1111
2012-08-21,5.7143
2012-08-22,-8.1081
2012-08-23,11.7647
2012-08-24,5.0
2012-08-27,-4.7619
2012-08-28,-18.4211
2012-08-29,0.0
2012-08-30,3.2258
2012-08-31,3.125
2012-09-04,-9.0909
2012-09-05,11.0
2012-09-06,0.6006
2012-09-07,2.9851
2012-09-10,0.0
2012-09-11,1.4493
2012-09-12,2.8571
2012-09-13,2.5
2012-09-14,1.626
2012-09-17,-4.0
2012-09-18,3.4722
2012-09-19,-2.0134
2012-09-20,-40.8219
2012-09-21,22.685200000000002
2012-09-24,-1.8868
2012-09-25,-5.3846
2012-09-26,-2.439
2012-09-27,0.0
2012-09-28,-4.1667
2012-10-01,-8.6957
2012-10-02,15.9524
2012-10-03,2.6694
2012-10-04,-18.0
2012-10-05,-25.8537
2012-10-08,-34.2105
2012-10-09,20.0
2012-10-10,-8.3333
2012-10-11,-8.5227
2012-10-12,-0.6211
2012-10-15,15.0
2012-10-16,-12.7717
2012-10-17,9.6573
2012-10-18,-2.7273
2012-10-19,-16.822400000000002
2012-10-22,-33.8483
2012-10-23,1.6985000000000001
2012-10-24,-3.1315
2012-10-25,3.2328
2012-10-26,0.2088
2012-10-31,-1.3542
2012-11-01,-7.075
2012-11-02,8.8636
2012-11-05,-24.8434
2012-11-06,-15.2778
2012-11-07,4.918
2012-11-08,0.0
2012-11-09,-6.25
2012-11-12,6.6667
2012-11-13,-18.75
2012-11-14,-9.2308
2012-11-15,-1.6949
2012-11-16,-27.1552
2012-11-19,22.4852
2012-11-20,14.0097
2012-11-21,0.0
2012-11-23,0.0
2012-11-26,1.6949
2012-11-27,-21.0417
2012-11-28,0.0
2012-11-29,5.5409
2012-11-30,20.0
2012-12-03,-2.2917
2012-12-04,-28.3582
2012-12-05,3.8689999999999998
2012-12-06,-7.7364
2012-12-07,1.2422
2012-12-10,16.8712
2012-12-11,0.0
2012-12-12,-11.811
