ticker,BRLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-17,195.9184
2017-07-18,3.4483
2017-10-11,-33.3333
2017-10-12,-1.0
2017-11-28,1.0101
2017-11-29,-25.0
2017-12-04,50.6667
2017-12-29,54.8673
2018-01-16,-2.8571
2018-03-29,-26.4706
2018-04-30,0.0
2018-06-21,0.0
2018-07-09,-52.0
2018-10-09,312.5
2018-10-10,1.0101
2018-10-11,0.0
2018-10-15,0.0
2018-10-18,26.0
2018-10-19,0.0
2018-10-22,0.0
2018-10-23,-20.634900000000002
2018-10-25,26.0
2018-10-26,0.0
2018-10-29,3.1746
2018-11-01,-23.0769
2018-11-02,34.0
2018-11-05,0.0
2018-11-07,16.4179
2018-11-08,21.7949
2018-11-09,0.0
2018-11-13,-21.0526
2018-11-14,25.3333
2018-11-16,-1.0638
2018-11-21,-3.2258
2018-11-27,-26.6667
2018-11-28,21.2121
2018-11-29,-2.5
2018-11-30,15.3846
2018-12-03,-8.8889
2018-12-04,8.5366
2018-12-06,-7.8652
2018-12-07,1.2195
2018-12-10,7.2289
2018-12-11,-10.1124
2018-12-12,-0.625
2018-12-13,-11.9497
2018-12-14,42.8571
2018-12-17,45.0
2018-12-18,0.0
2018-12-19,-31.0345
2018-12-20,47.5
2018-12-27,103.3898
2019-01-03,-45.0
2019-01-04,0.0
2019-01-09,-9.0909
2019-01-10,-6.6667
2019-01-14,-46.4286
2019-01-15,40.0
2019-01-16,-11.4286
2019-01-18,-3.2258
2019-01-22,66.6667
2019-01-28,-51.3333
2019-01-29,-34.7945
2019-01-30,-13.8655
2019-02-01,17.0732
2019-02-04,-37.5
2019-02-05,83.3333
2019-02-08,-8.7273
2019-02-11,30.1195
2019-02-14,68.4017
2019-02-15,-59.0909
2019-02-19,22.2222
2019-02-25,-7.2727
2019-03-13,-21.5686
2019-03-14,80.0
2019-03-21,-29.1667
2019-03-26,-21.5686
2019-03-28,27.5
2019-04-11,0.0
2019-04-18,-45.098
2019-04-30,21.4286
2019-05-02,-5.8824
2019-05-08,0.0
2019-05-13,-15.625
2019-05-14,3.7037
2019-05-17,-3.5714
2019-05-28,-1.8519
2019-05-30,-62.2642
2019-06-06,0.0
2019-06-17,-20.0
2019-06-21,25.0
2019-06-24,10.0
2019-06-26,0.0
2019-07-11,0.0
2019-07-12,-31.8182
2019-07-16,74.6667
2019-07-18,6.8702
2019-07-24,0.0
2019-07-26,0.0
2019-07-30,-42.8571
2019-08-07,38.75
2019-08-15,8.1081
