ticker,RSLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-15,0.0
2007-11-16,2.0
2007-11-19,-0.1225
2007-11-20,-1.227
2007-11-21,-2.8571
2007-11-23,2.3018
2007-11-26,0.5
2007-11-27,-0.4975
2007-11-28,0.0
2007-11-29,0.5
2007-11-30,0.7463
2007-12-03,11.1111
2007-12-04,2.7778
2007-12-05,-3.027
2007-12-06,18.8406
2007-12-07,-2.5328
2007-12-10,-6.1598
2007-12-11,-7.6923
2007-12-12,5.5556
2007-12-13,-1.0526
2007-12-14,-7.4468
2007-12-17,-6.2069
2007-12-18,4.1667
2007-12-19,8.1176
2007-12-20,-5.9848
2007-12-21,-2.8935
2007-12-24,-1.7877999999999998
2007-12-26,0.3641
2007-12-27,1.8138
2007-12-28,-2.3753
2007-12-31,-2.0681
2008-01-02,3.354
2008-01-03,13.5817
2008-01-04,0.0
2008-01-07,2.8571
2008-01-08,0.3086
2008-01-09,-2.5641
2008-01-10,0.0
2008-01-11,2.1053
2008-01-14,2.4742
2008-01-15,2.6157
2008-01-16,-0.3922
2008-01-17,-4.3307
2008-01-18,1.8519
2008-01-22,-2.5253
2008-01-23,2.7979000000000003
2008-01-24,-5.2419
2008-01-25,0.0
2008-01-28,-0.5319
2008-01-29,-2.246
2008-01-30,-4.814
2008-01-31,-1.1494
2008-02-01,0.814
2008-02-04,-4.8443000000000005
2008-02-05,0.7273
2008-02-06,-0.4813
2008-02-07,-6.1669
2008-02-08,6.1856
2008-02-11,5.5825
2008-02-12,0.0
2008-02-13,-0.1149
2008-02-14,-2.4166
2008-02-15,-3.184
2008-02-19,3.4105
2008-02-20,0.0
2008-02-21,2.2379
2008-02-22,-1.3825
2008-02-26,2.2196
2008-02-27,0.3429
2008-02-28,-2.0501
2008-02-29,0.6977
2008-03-03,1.3857
2008-03-04,1.3667
2008-03-05,-1.1236
2008-03-06,-1.8182
2008-03-07,1.1574
2008-03-10,-0.2288
2008-03-11,-6.8807
2008-03-12,-10.7143
2008-03-13,2.7586
2008-03-14,-3.2215
2008-03-17,-2.2191
2008-03-18,-3.9716
2008-03-19,-27.3264
2008-03-20,3.4527
2008-03-24,3.146
2008-03-25,-4.7619
2008-03-26,-4.2
2008-03-27,-11.2735
2008-03-28,-18.8235
2008-03-31,20.8696
2008-04-01,24.7002
2008-04-02,-2.8846
2008-04-03,0.198
2008-04-04,-0.9881
2008-04-07,-8.1836
2008-04-08,-1.3043
2008-04-09,-6.1674
2008-04-10,0.4695
