ticker,TMGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-08,-3.3333
2013-11-15,-62.069
2013-12-10,163.6364
2013-12-23,3.4483
2014-03-28,0.0
2014-04-16,0.0
2014-05-14,0.0
2014-05-16,-66.6667
2014-05-20,50.0
2014-05-21,0.0
2014-05-22,13.3333
2014-05-23,0.0
2014-05-27,-29.4118
2014-05-28,25.0
2014-05-29,0.0
2014-05-30,13.3333
2014-06-02,-35.2941
2014-06-03,0.0
2014-06-04,54.5455
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,0.0
2014-06-11,0.0
2014-06-12,5.8824
2014-06-13,11.1111
2014-06-16,0.0
2014-06-19,-14.0
2014-06-20,16.2791
2014-06-23,0.0
2014-06-25,-0.5
2014-06-26,0.5025
2014-06-27,0.0
2014-06-30,0.0
2014-07-02,-19.5
2014-07-11,-6.8323
2014-07-14,33.3333
2014-07-15,15.0
2014-07-16,0.0
2014-07-23,-26.087
2014-07-31,14.7059
2014-08-01,2.5641
2014-08-05,0.0
2014-08-13,5.0
2014-08-20,-4.7619
2014-08-28,-70.0
2014-08-29,233.3333
2014-09-08,-10.0
2014-09-11,-66.6667
2014-09-12,250.0
2014-09-15,0.0
2014-09-24,-64.2857
2014-09-25,180.0
2014-10-06,-71.4286
2014-10-08,283.3333
2014-11-05,0.0
2014-11-12,0.0
2015-01-08,-73.913
2015-01-09,283.3333
2015-01-20,-34.7826
2015-01-21,-40.0
2015-01-30,-11.1111
2015-02-04,-56.25
2015-02-09,157.1429
2015-02-13,-22.2222
2015-02-17,0.0
2015-02-19,-28.5714
2015-02-20,50.0
2015-02-23,20.0
2015-03-02,77.7778
2015-03-03,-4.6875
2015-03-09,-1.6393
2015-03-10,0.0
2015-03-13,-20.0
2015-03-20,-16.6667
2015-03-23,70.0
2015-03-31,-58.2353
2015-04-01,-14.0845
2015-04-02,14.7541
2015-04-10,28.5714
2015-04-13,0.0
2015-04-14,-16.6667
2015-04-15,46.6667
2015-04-17,-9.0909
2015-04-24,10.0
2015-04-30,-31.8182
2015-05-26,-13.3333
2015-06-09,-15.3846
2015-06-16,-9.0909
2015-06-17,0.0
2015-06-23,-20.0
2015-06-24,-37.5
2015-06-25,80.0
2015-06-26,11.1111
2015-06-29,-24.0
2015-07-01,5.2632
2015-07-06,0.0
2015-07-07,-20.0
2015-07-08,71.875
2015-07-10,9.0909
2015-07-13,-46.6667
2015-07-14,56.25
2015-07-17,-34.0
2015-07-23,0.0
2015-07-27,21.2121
