ticker,STRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.2785
2000-01-04,-3.8348
2000-01-05,-0.6135
2000-01-06,-1.5556
2000-01-07,1.5723
2000-01-10,-1.548
2000-01-11,0.0
2000-01-12,-4.4025
2000-01-13,-0.6579
2000-01-14,0.6623
2000-01-18,61.8421
2000-01-19,-32.1138
2000-01-20,2.6946
2000-01-21,-0.5831
2000-01-24,-2.346
2000-01-25,6.9069
2000-01-26,-3.6517
2000-01-27,2.9154999999999998
2000-01-28,-1.1331
2000-01-31,-6.5903
2000-02-01,0.9202
2000-02-02,-4.2553
2000-02-03,-0.3175
2000-02-04,32.1656
2000-02-07,-1.4458
2000-02-08,0.2445
2000-02-09,0.4878
2000-02-10,1.9417
2000-02-11,0.4762
2000-02-14,0.9479
2000-02-15,2.8169
2000-02-16,-3.1963
2000-02-17,1.8868
2000-02-18,0.0
2000-02-22,3.0093
2000-02-23,3.3708
2000-02-24,-4.3478
2000-02-25,-2.2727
2000-02-28,0.0
2000-02-29,-1.6279
2000-03-01,2.1277
2000-03-02,-3.2407
2000-03-03,3.3493
2000-03-06,-1.8519
2000-03-07,-3.7736
2000-03-08,5.1471
2000-03-09,-0.9324
2000-03-10,-7.2941
2000-03-13,-1.5228000000000002
2000-03-14,-0.7732
2000-03-15,0.2597
2000-03-16,11.399000000000001
2000-03-17,-6.2791
2000-03-20,-0.2481
2000-03-21,1.2438
2000-03-22,-0.2457
2000-03-23,-5.665
2000-03-24,6.7885
2000-03-27,1.2225
2000-03-28,-1.2077
2000-03-29,-3.912
2000-03-30,-0.2545
2000-03-31,6.1224
2000-04-03,-2.8846
2000-04-04,-1.4851
2000-04-05,2.5126
2000-04-06,0.2353
2000-04-07,-2.451
2000-04-10,-2.2613
2000-04-11,0.7712
2000-04-12,-2.2959
2000-04-13,0.2611
2000-04-14,-3.125
2000-04-17,-7.7957
2000-04-18,-1.4577
2000-04-19,6.5089
2000-04-20,0.5556
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,-2.7624
2000-04-27,-2.5568
2000-04-28,-4.0816
2000-05-01,10.6383
2000-05-02,-1.6484
2000-05-03,-0.2793
2000-05-04,3.0812
2000-05-05,-8.1522
2000-05-08,-3.5503
2000-05-09,0.0
2000-05-10,3.681
2000-05-11,4.142
2000-05-12,0.2841
2000-05-15,4.5326
2000-05-16,4.065
2000-05-17,-1.8229
2000-05-18,1.3263
2000-05-19,4.712
2000-05-22,0.0
2000-05-23,-1.75
