ticker,YPPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-28,818.1818
2013-03-01,-89.1089
2013-03-08,818.1818
2013-03-18,98.0198
2013-03-22,200.0
2013-04-04,150.0
2013-04-05,-50.0
2013-04-08,0.0
2013-04-25,-40.0
2013-04-26,0.0
2013-04-29,66.6667
2013-05-01,0.0
2013-05-06,30.0
2013-05-20,-7.6923
2013-05-21,0.0
2013-05-23,-8.3333
2013-05-24,36.3636
2013-05-28,-7.3333
2013-05-29,-20.8633
2013-05-30,-7.2727
2013-05-31,7.8431
2013-06-03,1.8182
2013-06-04,8.9286
2013-06-05,16.3934
2013-06-06,33.8028
2013-06-07,-24.2105
2013-06-10,-43.0556
2013-06-11,-21.4634
2013-06-12,27.3292
2013-06-13,-12.1951
2013-06-14,-12.5
2013-06-17,-11.1111
2013-06-18,-32.1429
2013-06-19,-23.6842
2013-06-20,3.4483
2013-06-21,-12.6667
2013-06-24,6.8702
2013-06-25,0.0
2013-06-26,0.0
2013-06-27,0.0
2013-06-28,-7.1429
2013-07-01,-15.288499999999999
2013-07-02,9.8751
2013-07-03,7.438
2013-07-05,7.6923
2013-07-08,0.0
2013-07-09,3.5714
2013-07-10,3.4483
2013-07-11,0.0
2013-07-12,5.9167
2013-07-15,-5.5862
2013-07-16,-13.3333
2013-07-17,-3.8462
2013-07-18,0.0
2013-07-19,1.6
2013-07-22,-5.5118
2013-07-23,-16.6667
2013-07-24,15.0
2013-07-25,13.0435
2013-07-26,-7.6923
2013-07-29,8.3333
2013-07-30,-7.6923
2013-07-31,8.3333
2013-08-01,7.6923
2013-08-02,3.5714
2013-08-05,-3.5345
2013-08-06,-1.3405
2013-08-07,-20.2899
2013-08-08,-4.5455
2013-08-09,38.0952
2013-08-12,-13.5776
2013-08-13,18.9027
2013-08-14,-12.0805
2013-08-15,0.7634
2013-08-16,6.0606
2013-08-19,0.0
2013-08-20,-7.1429
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-26,7.6923
2013-08-27,-7.1429
2013-08-28,0.0
2013-08-29,-7.6923
2013-08-30,0.0
2013-09-03,-4.1667
2013-09-04,-2.6087
2013-09-05,0.0
2013-09-06,2.6786
2013-09-09,0.0
2013-09-10,8.587
2013-09-11,0.0
2013-09-12,-11.9119
2013-09-13,0.0
2013-09-16,-4.5455
2013-09-17,0.9524
2013-09-18,-10.2594
2013-09-19,5.1248
2013-09-20,0.0
2013-09-23,-0.1875
2013-09-24,0.0
2013-09-25,-19.8497
