ticker,ITRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-28,3.6154
2005-09-29,-2.7468
2005-09-30,0.3817
2005-10-03,-0.9125
2005-10-04,0.0
2005-10-05,-1.7652
2005-10-06,0.7031
2005-10-07,-1.0085
2005-10-10,-2.0376
2005-10-11,-1.2
2005-10-12,-0.5668
2005-10-13,-1.3844
2005-10-14,1.1561
2005-10-17,-3.3468999999999998
2005-10-18,1.3514
2005-10-19,-2.1667
2005-10-20,1.3629
2005-10-21,0.084
2005-10-24,-0.9236
2005-10-25,1.7797
2005-10-26,4.4963
2005-10-27,2.4701
2005-10-28,-1.0109
2005-10-31,2.121
2005-11-01,0.0
2005-11-02,2.0
2005-11-03,3.3183
2005-11-04,1.3139
2005-11-07,1.4409
2005-11-08,2.7699
2005-11-09,0.7602
2005-11-10,0.0
2005-11-11,5.144
2005-11-14,-6.3275
2005-11-15,-4.2479
2005-11-16,-0.5818
2005-11-17,7.2421
2005-11-18,-2.1146
2005-11-21,-1.8117999999999999
2005-11-22,4.0454
2005-11-23,0.6139
2005-11-25,-2.1695
2005-11-28,-1.1781
2005-11-29,2.0337
2005-11-30,-0.0687
2005-12-01,-0.3439
2005-12-02,3.1056
2005-12-05,-2.2758
2005-12-06,-0.2055
2005-12-07,-0.8922
2005-12-08,3.1856
2005-12-09,-1.3423
2005-12-12,1.3605
2005-12-13,0.6711
2005-12-14,5.8
2005-12-15,1.7643
2005-12-16,-0.9288
2005-12-19,-3.0625
2005-12-20,-0.0645
2005-12-21,0.129
2005-12-22,7.2809
2005-12-23,-0.6607
2005-12-27,-2.7811
2005-12-28,-1.1194
2005-12-29,-0.3774
2005-12-30,0.6944
2006-01-03,3.0721
2006-01-04,-0.365
2006-01-05,-0.5495
2006-01-06,-0.9269
2006-01-09,1.8031000000000001
2006-01-10,8.7036
2006-01-11,0.0
2006-01-12,-1.4558
2006-01-13,1.5909
2006-01-17,1.7841
2006-01-18,-0.3791
2006-01-19,-0.5516
2006-01-20,-2.6068
2006-01-23,-1.3667
2006-01-24,1.4434
2006-01-25,3.1303
2006-01-26,2.5938
2006-01-27,-2.1517
2006-01-30,-0.8246
2006-01-31,-1.5521
2006-02-01,1.7455
2006-02-02,-0.0553
2006-02-03,-0.3322
2006-02-06,0.0
2006-02-07,-5.5556
2006-02-08,0.8235
2006-02-09,0.4084
2006-02-10,0.7583
2006-02-13,-2.0213
2006-02-14,-0.2354
2006-02-15,-4.1888
2006-02-16,0.431
2006-02-17,0.7971
