ticker,POST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-30,0.3745
2012-01-31,0.4104
2012-02-01,1.2635
2012-02-02,2.2018
2012-02-03,-2.5494
2012-02-06,-0.9211
2012-02-07,-2.6404
2012-02-08,-0.6112
2012-02-09,1.9216
2012-02-10,0.4525
2012-02-13,4.0541
2012-02-14,7.1429
2012-02-15,4.1751
2012-02-16,0.097
2012-02-17,-0.5489
2012-02-21,-1.461
2012-02-22,0.8567
2012-02-23,2.4828
2012-02-24,-0.0638
2012-02-27,0.319
2012-02-28,0.159
2012-02-29,-1.1429
2012-03-01,1.124
2012-03-02,-0.0953
2012-03-05,-0.0318
2012-03-06,-3.8156
2012-03-07,-0.2314
2012-03-08,-0.8946
2012-03-09,2.541
2012-03-12,-2.1193
2012-03-13,2.8981
2012-03-14,-2.4603
2012-03-15,-0.4978
2012-03-16,2.1681
2012-03-19,-1.0774
2012-03-20,-1.7162
2012-03-21,0.4701
2012-03-22,1.6711
2012-03-23,1.9066
2012-03-26,2.0645
2012-03-27,1.3906
2012-03-28,0.4052
2012-03-29,0.0931
2012-03-30,2.1402
2012-04-02,3.1886
2012-04-03,-2.1483
2012-04-04,-1.1128
2012-04-05,-0.5474
2012-04-09,-1.4067
2012-04-10,-2.3263
2012-04-11,-0.1588
2012-04-12,-0.2545
2012-04-13,2.5829
2012-04-16,-0.5906
2012-04-17,0.0625
2012-04-18,-0.9063
2012-04-19,-0.0315
2012-04-20,0.5994
2012-04-23,-1.5678999999999998
2012-04-24,0.4779
2012-04-25,3.1389
2012-04-26,-4.6726
2012-04-27,-3.257
2012-04-30,-0.8333
2012-05-01,0.0
2012-05-02,-1.5798
2012-05-03,1.9125999999999999
2012-05-04,0.4021
2012-05-07,2.6702
2012-05-08,0.8453
2012-05-09,-0.6447
2012-05-10,0.7463
2012-05-11,-0.9984
2012-05-14,-1.7892000000000001
2012-05-15,-0.1656
2012-05-16,-0.4977
2012-05-17,-2.4341
2012-05-18,0.9569
2012-05-21,0.237
2012-05-22,-1.5198
2012-05-23,-0.7545
2012-05-24,-3.2481
2012-05-25,6.25
2012-05-29,5.042
2012-05-30,-2.752
2012-05-31,-1.053
2012-06-01,-2.5274
2012-06-04,0.2729
2012-06-05,3.6747
2012-06-06,1.6738
2012-06-07,-0.4196
2012-06-08,0.4538
2012-06-11,-0.5163
2012-06-12,0.1297
2012-06-13,0.2592
2012-06-14,0.6139
2012-06-15,4.0141
2012-06-18,0.9571
2012-06-19,-2.5688
