ticker,ISTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-01,1.4285999999999999
2014-07-02,-0.7042
2014-07-03,-0.3546
2014-07-07,-0.3559
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.4286
2014-07-11,-0.2134
2014-07-14,0.1426
2014-07-15,0.0
2014-07-16,2.847
2014-07-17,-0.2076
2014-07-18,-0.1387
2014-07-21,-1.7361
2014-07-22,-0.212
2014-07-23,-0.1416
2014-07-24,0.0709
2014-07-25,0.2126
2014-07-28,-0.9901
2014-07-29,1.0
2014-07-30,-0.9194
2014-07-31,0.0714
2014-08-01,0.0713
2014-08-04,0.0713
2014-08-05,-0.2849
2014-08-06,0.0714
2014-08-07,0.2141
2014-08-08,-0.2137
2014-08-11,-0.0714
2014-08-12,-1.2
2014-08-13,1.2146
2014-08-14,0.0
2014-08-15,-1.7143000000000002
2014-08-18,1.2355
2014-08-19,0.6461
2014-08-20,0.0
2014-08-21,-0.8559
2014-08-22,1.7986
2014-08-25,-1.6254
2014-08-26,0.2874
2014-08-27,0.2865
2014-08-28,-0.1429
2014-08-29,-0.2146
2014-09-02,0.0
2014-09-03,1.0753
2014-09-04,-0.3546
2014-09-05,-0.0712
2014-09-08,-0.1425
2014-09-09,0.214
2014-09-10,0.0
2014-09-11,2.4199
2014-09-12,-2.1543
2014-09-15,-0.8523
2014-09-16,-1.6476
2014-09-17,-0.2185
2014-09-18,-0.5839
2014-09-19,-4.0382
2014-09-22,0.9181
2014-09-23,2.1986
2014-09-24,-1.3353
2014-09-25,-0.3759
2014-09-26,1.434
2014-09-29,-0.372
2014-09-30,-0.6721
2014-10-01,-1.5038
2014-10-02,2.2137000000000002
2014-10-03,-0.5975
2014-10-06,-1.9534
2014-10-07,0.2299
2014-10-09,0.5352
2014-10-10,1.5726
2014-10-13,-2.1723
2014-10-14,2.2205
2014-10-16,-1.4981
2014-10-17,-0.1521
2014-10-20,0.0762
2014-10-21,-0.1522
2014-10-22,-0.1524
2014-10-23,-0.3053
2014-10-24,-0.3828
2014-10-27,1.0761
2014-10-28,0.0837
2014-10-29,2.7278000000000002
2014-10-31,3.5503
2014-11-03,-3.9286
2014-11-04,0.1487
2014-11-05,-0.6682
2014-11-06,1.6442
2014-11-07,-1.3235000000000001
2014-11-10,-0.149
2014-11-11,0.0
2014-11-12,2.2388
2014-11-13,0.0
2014-11-14,-1.4599
2014-11-17,0.0
2014-11-18,0.7407
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,1.1029
