ticker,RBZHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-13,-0.0062
2017-10-16,0.2055
2017-10-17,0.0
2017-10-19,0.0
2017-10-20,0.8205
2017-10-23,-0.3062
2017-10-24,0.2051
2017-10-25,0.1018
2017-10-26,-0.4069
2017-10-27,-0.3064
2017-10-30,0.7172
2017-10-31,-0.3052
2017-11-02,-0.4653
2017-11-03,0.365
2017-11-08,0.4086
2017-11-10,0.0
2017-11-13,-0.3052
2017-11-15,-0.3061
2017-11-16,0.0
2017-11-20,0.1024
2017-11-21,0.0
2017-11-27,0.0
2017-11-28,-0.2045
2017-11-30,0.0041
2017-12-01,0.4057
2017-12-04,0.0
2017-12-05,-0.102
2017-12-06,-0.2043
2017-12-07,0.0
2017-12-08,0.8188
2017-12-11,-0.1198
2017-12-13,-0.4899
2017-12-14,0.1471
2017-12-18,-0.0449
2017-12-20,-0.2041
2018-01-02,0.0
2018-01-03,-0.3067
2018-01-04,0.5128
2018-01-08,0.0
2018-01-09,0.0
2018-01-10,0.4082
2018-01-11,-0.5081
2018-01-12,0.4086
2018-01-16,-0.2625
2018-01-17,0.2632
2018-01-18,-0.1017
2018-01-19,0.2037
2018-01-22,-0.1016
2018-01-24,0.1831
2018-01-26,-0.3859
2018-01-29,-0.1019
2018-01-30,0.001
2018-02-02,-0.001
2018-02-05,0.2041
2018-02-08,-0.2037
2018-02-09,0.2561
2018-02-12,-0.1537
2018-02-13,0.0
2018-02-14,0.001
2018-02-16,0.4067
2018-02-21,0.0
2018-02-27,0.0
2018-02-28,-0.5076
2018-03-01,0.0
2018-03-06,0.0
2018-03-13,0.2041
2018-03-16,-0.1018
2018-03-19,0.0
2018-03-22,0.0
2018-03-26,0.4077
2018-03-29,0.1015
2018-04-16,0.4057
2018-04-24,-0.202
2018-04-25,-0.1012
2018-04-26,0.1013
2018-04-30,-0.1771
2018-05-02,0.2778
2018-05-07,0.2032
2018-05-08,0.8073
2018-05-10,0.0
2018-05-11,-0.9009
2018-05-14,0.0
2018-05-17,0.101
2018-05-18,-0.1009
2018-05-22,0.0
2018-05-23,0.101
2018-05-25,-0.1009
2018-05-29,1.0101
2018-05-30,0.0
2018-06-04,-0.402
2018-06-05,-0.0653
2018-06-07,-0.5355
2018-06-08,0.0
2018-06-12,0.6061
2018-06-13,-0.1004
2018-06-21,0.201
2018-06-22,0.1294
2018-06-25,-0.1292
2018-06-26,0.3009
2018-06-27,-0.3
2018-06-29,0.1003
2018-07-05,0.2004
