ticker,EPRSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-09,12.1429
2005-11-10,0.6369
2005-11-11,-5.0633
2005-11-14,4.0
2005-11-15,-3.8462
2005-11-16,0.0
2005-11-17,-0.48
2005-11-18,-2.8670999999999998
2005-11-21,0.6897
2005-11-22,0.274
2005-11-23,4.5082
2005-11-25,0.5229
2005-11-28,-1.1703999999999999
2005-11-29,1.7105000000000001
2005-11-30,-1.0349
2005-12-01,0.0
2005-12-02,0.6536
2005-12-05,1.2987
2005-12-06,0.641
2005-12-07,1.2739
2005-12-08,1.2579
2005-12-09,2.2359999999999998
2005-12-12,-1.2151
2005-12-13,0.861
2005-12-14,0.3659
2005-12-15,-0.243
2005-12-16,3.0451
2005-12-19,8.0378
2005-12-20,-6.3457
2005-12-21,0.3505
2005-12-22,-2.9104
2005-12-23,-1.9184999999999999
2005-12-27,-1.8336999999999999
2005-12-28,-0.4981
2005-12-29,0.2503
2005-12-30,2.1223
2006-01-03,2.445
2006-01-04,2.5060000000000002
2006-01-05,0.2328
2006-01-06,5.6911000000000005
2006-01-09,5.7143
2006-01-10,7.2765
2006-01-11,3.6822
2006-01-12,-5.4206
2006-01-13,0.4941
2006-01-17,-1.5733000000000001
2006-01-18,3.5964
2006-01-19,-0.1929
2006-01-20,0.9662
2006-01-23,-0.1914
2006-01-24,-1.2464
2006-01-25,-0.4854
2006-01-26,2.439
2006-01-27,1.0476
2006-01-30,17.6249
2006-01-31,3.4455
2006-02-01,6.5066
2006-02-02,-5.8182
2006-02-03,-2.8571
2006-02-06,-1.0334
2006-02-07,-1.9277
2006-02-08,-1.1466
2006-02-09,0.6628
2006-02-10,-1.3169
2006-02-13,0.1668
2006-02-14,7.9933
2006-02-15,-0.5397
2006-02-16,0.0775
2006-02-17,-0.9915
2006-02-21,3.2712
2006-02-22,-5.0009
2006-02-23,8.3732
2006-02-24,0.4415
2006-02-27,1.3187
2006-02-28,-5.2783999999999995
2006-03-01,-2.2901
2006-03-02,-0.3906
2006-03-03,0.0
2006-03-06,-3.2157
2006-03-07,-7.7472
2006-03-08,-2.9339
2006-03-09,0.0
2006-03-10,2.0814
2006-03-13,0.9752
2006-03-14,-0.3512
2006-03-15,-2.1145
2006-03-16,-1.1701
2006-03-17,-1.275
2006-03-20,4.8893
2006-03-21,-2.8144
2006-03-22,0.4525
2006-03-23,-5.4054
2006-03-24,4.5714
2006-03-27,0.7286
2006-03-28,9.132
2006-03-29,1.4085
2006-03-30,-2.0425
