ticker,PTEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8462
2000-01-04,-1.0
2000-01-05,3.0303
2000-01-06,7.3529
2000-01-07,3.1963
2000-01-10,-2.2124
2000-01-11,0.905
2000-01-12,-0.8969
2000-01-13,7.2398
2000-01-14,0.4219
2000-01-18,4.2017
2000-01-19,4.4355
2000-01-20,4.6332
2000-01-21,9.2251
2000-01-24,-4.7297
2000-01-25,-3.5461
2000-01-26,-5.1471
2000-01-27,2.7132
2000-01-28,-1.1320999999999999
2000-01-31,1.5267
2000-02-01,3.7594
2000-02-02,2.8986
2000-02-03,-0.7042
2000-02-04,0.3546
2000-02-07,2.1201
2000-02-08,-3.4602
2000-02-09,-1.4337
2000-02-10,1.0909
2000-02-11,-1.4388
2000-02-14,3.6496
2000-02-15,1.0563
2000-02-16,0.3484
2000-02-17,0.3472
2000-02-18,-4.8443000000000005
2000-02-22,-1.0909
2000-02-23,2.9412000000000003
2000-02-24,2.8571
2000-02-25,6.5972
2000-02-28,4.2345
2000-02-29,14.0625
2000-03-01,4.9315
2000-03-02,9.9217
2000-03-03,-1.1876
2000-03-06,1.4423
2000-03-07,4.7393
2000-03-08,-9.5023
2000-03-09,0.5
2000-03-10,3.4826
2000-03-13,-0.7212
2000-03-14,-2.4213
2000-03-15,-7.4442
2000-03-16,14.7453
2000-03-17,-2.8037
2000-03-20,-2.8846
2000-03-21,9.901
2000-03-22,6.7568
2000-03-23,0.6329
2000-03-24,-2.0964
2000-03-27,-2.3555
2000-03-28,-4.8246
2000-03-29,8.9862
2000-03-30,4.6512
2000-03-31,2.6263
2000-04-03,0.1969
2000-04-04,-7.8585
2000-04-05,-6.823
2000-04-06,6.1785
2000-04-07,-6.25
2000-04-10,-8.7356
2000-04-11,12.342600000000001
2000-04-12,0.4484
2000-04-13,-4.2411
2000-04-14,-10.2564
2000-04-17,-7.5325
2000-04-18,12.6404
2000-04-19,1.2469000000000001
2000-04-20,7.8818
2000-04-24,4.1096
2000-04-25,-6.5789
2000-04-26,-0.2347
2000-04-27,6.8235
2000-04-28,-0.4405
2000-05-01,-3.5398
2000-05-02,0.0
2000-05-03,-0.9174
2000-05-04,1.8519
2000-05-05,0.9091
2000-05-08,0.9009
2000-05-09,4.4643
2000-05-10,0.4274
2000-05-11,1.4894
2000-05-12,-2.3061
2000-05-15,2.1459
2000-05-16,-4.2017
2000-05-17,0.0
2000-05-18,-5.0439
2000-05-19,-2.0785
2000-05-22,-2.8302
