ticker,AHCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-30,0.0
2018-06-12,0.0
2018-06-13,0.0
2018-06-14,0.5155
2018-06-18,-1.0256
2018-06-21,1.5544
2018-06-27,-0.5102
2018-06-29,-1.3333
2018-07-02,-0.104
2018-07-06,-0.1041
2018-07-16,0.0
2018-07-17,0.0
2018-07-19,0.1042
2018-07-26,0.3122
2018-07-27,-0.1037
2018-07-30,0.7269
2018-08-01,0.0
2018-08-02,0.7216
2018-08-07,-0.5118
2018-08-13,0.3086
2018-08-14,0.1026
2018-08-20,0.4098
2018-08-22,-0.5102
2018-08-23,0.1026
2018-08-24,-0.1025
2018-08-27,-0.2051
2018-08-30,0.1028
2018-09-07,-0.1027
2018-09-19,-0.3083
2018-09-20,0.2062
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.0
2018-10-04,0.0
2018-10-05,0.3086
2018-10-08,-0.2051
2018-10-09,-0.1028
2018-10-10,0.1029
2018-10-11,-0.1028
2018-10-12,0.0
2018-10-15,0.0
2018-10-22,0.2058
2018-10-26,0.4107
2018-11-05,-0.2045
2018-11-06,0.0
2018-11-09,0.3074
2018-11-12,-0.1021
2018-11-13,-0.1022
2018-11-14,2.3541
2018-11-15,-1.2
2018-11-16,-0.4049
2018-11-19,0.2033
2018-11-20,-0.1014
2018-11-21,-0.1015
2018-11-23,0.0
2018-11-26,-0.1016
2018-11-27,-0.3052
2018-11-28,0.102
2018-11-29,0.1019
2018-11-30,-0.2037
2018-12-03,0.102
2018-12-04,0.0
2018-12-06,-0.1019
2018-12-07,0.0
2018-12-10,0.2041
2018-12-20,0.1018
2019-01-03,0.1017
2019-01-04,0.1016
2019-01-09,0.3046
2019-01-10,-0.3036
2019-01-11,-0.1015
2019-01-15,0.1016
2019-01-16,1.3197999999999999
2019-01-17,-0.1002
2019-01-22,0.0
2019-01-23,0.0522
2019-01-30,-0.4481
2019-01-31,-0.2064
2019-02-11,-0.1009
2019-02-15,0.8081
2019-02-21,-0.2004
2019-02-25,-0.1004
2019-02-26,0.1005
2019-03-01,-0.1004
2019-03-08,-0.1005
2019-03-12,-0.1569
2019-03-19,-0.1451
2019-03-20,0.4036
2019-03-25,0.0
2019-03-27,-0.201
2019-03-29,0.6042
2019-04-02,0.3003
2019-04-03,-0.1996
2019-04-04,0.1
2019-04-12,0.1998
2019-04-16,0.4985
2019-04-18,0.0
2019-04-23,-0.1984
2019-05-10,-0.1988
2019-05-22,0.1992
2019-05-23,0.0
