ticker,AMRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-18,7.1438
2014-03-19,-1.7551999999999999
2014-03-20,0.0
2014-03-21,-5.4286
2014-03-24,-6.1934
2014-03-25,8.2126
2014-03-26,-7.2173
2014-03-27,5.2927
2014-03-28,-0.9901
2014-03-31,0.9231
2014-04-01,-0.3049
2014-04-02,-0.5352
2014-04-03,-0.9992
2014-04-04,-2.795
2014-04-07,-0.1597
2014-04-08,-2.8
2014-04-09,-1.2346
2014-04-10,0.0833
2014-04-11,-0.3331
2014-04-14,-0.2506
2014-04-15,-1.8425
2014-04-16,1.5358
2014-04-17,0.8403
2014-04-21,-2.5
2014-04-22,0.5983
2014-04-23,-0.1699
2014-04-24,-4.1702
2014-04-25,4.4405
2014-04-28,0.3401
2014-04-29,0.339
2014-04-30,-2.1959
2014-05-01,0.6908
2014-05-02,0.5146
2014-05-05,0.256
2014-05-06,-2.1277
2014-05-07,2.4348
2014-05-08,0.1698
2014-05-09,-2.2881
2014-05-12,2.3417
2014-05-13,-1.6949
2014-05-14,-0.4267
2014-05-15,-0.4372
2014-05-16,-0.087
2014-05-19,-1.6536
2014-05-20,1.3274
2014-05-21,-0.0873
2014-05-22,0.0
2014-05-27,-3.4965
2014-05-28,3.0797
2014-05-29,0.0
2014-05-30,-1.5817
2014-06-02,-1.7856999999999998
2014-06-03,0.1818
2014-06-04,0.5445
2014-06-05,2.5271
2014-06-06,0.2641
2014-06-09,0.439
2014-06-10,0.2622
2014-06-11,-1.2206
2014-06-12,1.5004
2014-06-13,-0.087
2014-06-16,4.3516
2014-06-17,-3.3361
2014-06-18,3.365
2014-06-19,0.0835
2014-06-20,-9.3411
2014-06-23,5.6118
2014-06-24,-2.8746
2014-06-25,0.8969
2014-06-26,1.2444
2014-06-27,-2.3705
2014-06-30,0.3597
2014-07-01,2.2401
2014-07-02,2.5416
2014-07-03,-0.1709
2014-07-07,2.9966
2014-07-08,-1.33
2014-07-09,1.0952
2014-07-10,-0.0833
2014-07-11,0.3336
2014-07-14,0.0
2014-07-15,-0.4988
2014-07-16,-0.1671
2014-07-17,0.0
2014-07-18,0.7531
2014-07-21,-0.7475
2014-07-22,-1.5899999999999999
2014-07-23,-0.3401
2014-07-24,-0.1706
2014-07-25,0.4274
2014-07-28,0.8511
2014-07-29,1.097
2014-07-30,-1.3356
2014-07-31,0.1269
2014-08-01,-2.4926
2014-08-04,2.0797
2014-08-05,-0.6791
2014-08-06,0.5983
2014-08-07,-0.2549
