ticker,JILL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-09,-2.6923
2017-03-10,2.3715
2017-03-13,1.1583
2017-03-14,-1.5267
2017-03-15,-2.7907
2017-03-16,1.3557000000000001
2017-03-17,0.3147
2017-03-20,-1.4118
2017-03-21,-1.8298
2017-03-22,-0.5673
2017-03-23,5.9495000000000005
2017-03-24,-0.3077
2017-03-27,1.0802
2017-03-28,0.916
2017-03-29,-0.8321
2017-03-30,5.6445
2017-03-31,1.8051
2017-04-03,0.0709
2017-04-04,0.0709
2017-04-05,-0.4958
2017-04-06,1.0676
2017-04-07,-5.8451
2017-04-10,-0.8975
2017-04-11,1.1320999999999999
2017-04-12,-1.791
2017-04-13,-1.8237
2017-04-17,2.2446
2017-04-18,-0.3028
2017-04-19,1.7464
2017-04-20,2.5373
2017-04-21,-0.2911
2017-04-24,-2.9196999999999997
2017-04-25,-0.9023
2017-04-26,2.8073
2017-04-27,-1.476
2017-04-28,-1.1236
2017-05-01,-0.4545
2017-05-02,2.0548
2017-05-03,-0.2237
2017-05-04,-2.3916
2017-05-05,2.0674
2017-05-08,-0.6002
2017-05-09,-0.4528
2017-05-10,0.834
2017-05-11,-2.1805
2017-05-12,-3.1514
2017-05-15,-3.3333
2017-05-16,-0.7389
2017-05-17,-3.7221
2017-05-18,-5.3265
2017-05-19,1.7241
2017-05-22,0.6244
2017-05-23,3.1915
2017-05-24,-1.7182
2017-05-25,-1.8357
2017-05-26,0.6233
2017-05-30,-0.2655
2017-05-31,13.1322
2017-06-01,3.7647
2017-06-02,-0.8314
2017-06-05,0.5335
2017-06-06,-1.6679
2017-06-07,-0.2313
2017-06-08,2.0093
2017-06-09,2.0455
2017-06-12,-0.1485
2017-06-13,0.4461
2017-06-14,-2.7387
2017-06-15,0.2283
2017-06-16,-1.7464
2017-06-19,-1.932
2017-06-20,1.2608
2017-06-21,-4.5914
2017-06-22,-3.4258
2017-06-23,1.098
2017-06-26,2.3392
2017-06-27,-2.2857
2017-06-28,2.7569
2017-06-29,1.8699
2017-06-30,-1.9154
2017-07-03,0.5696
2017-07-05,2.6699
2017-07-06,-3.6249000000000002
2017-07-07,2.2077
2017-07-10,-1.28
2017-07-11,-1.7018
2017-07-12,0.4122
2017-07-13,-0.6568
2017-07-14,0.9091
2017-07-17,-0.9009
2017-07-18,1.405
2017-07-19,1.467
2017-07-20,0.0803
2017-07-21,0.4815
2017-07-24,-1.3578000000000001
2017-07-25,1.2955
2017-07-26,-0.8793
