ticker,ALTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-13,328.5714
2017-07-25,0.0
2017-10-04,-10.0
2018-02-15,-14.8148
2018-03-01,-4.3478
2018-03-05,-27.2727
2018-03-13,-36.25
2018-03-14,0.0
2018-04-27,-80.3922
2018-05-02,0.0
2018-05-03,-20.0
2018-05-16,0.0
2018-08-17,150.0
2018-08-21,0.0
2018-08-22,0.0
2018-09-06,-65.0
2018-09-07,0.0
2018-09-10,0.0
2019-01-28,71.4286
2019-01-29,8.3333
2019-01-30,-7.6923
2019-01-31,0.0
2019-02-01,25.0
2019-02-04,16.6667
2019-02-06,9.7143
2019-02-08,-11.4583
2019-02-11,-5.8824
2019-02-12,13.75
2019-02-13,9.8901
2019-02-14,2.5
2019-02-22,-21.9512
2019-02-26,-25.0
2019-02-27,-16.6667
2019-03-11,50.0
2019-03-12,-33.3333
2019-03-13,30.0
2019-03-18,-23.0769
2019-03-19,-4.5
2019-03-21,15.1832
2019-03-22,-9.0909
2019-03-26,0.0
2019-03-27,-8.0
2019-04-03,-13.0435
2019-04-11,-35.0
2019-04-12,3.8462
2019-04-15,-16.6667
2019-04-17,111.1111
2019-04-18,-43.1579
2019-04-22,66.6667
2019-04-23,-21.0111
2019-04-25,-1.5333
2019-04-29,-12.857099999999999
2019-05-03,-13.1148
2019-05-09,32.0755
2019-05-16,7.1429
2019-05-24,-33.3333
2019-06-07,-50.0
2019-06-10,-19.6
2019-06-13,0.0
2019-06-14,347.7612
2019-06-17,-66.6667
2019-06-28,8.6667
2019-07-05,53.3742
2019-07-08,40.0
2019-07-09,14.2857
2019-07-10,6.25
2019-07-11,15.3529
2019-07-12,-5.6604
2019-07-15,18.9189
2019-07-16,45.4545
2019-07-17,6.25
2019-07-18,-11.7059
2019-07-19,-0.0666
2019-07-22,6.6667
2019-07-23,-6.25
2019-07-24,10.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-29,-27.2727
2019-07-31,-12.2917
2019-08-01,19.8575
2019-08-05,2.2592
2019-08-06,-22.4031
2019-08-16,19.8801
2019-08-19,0.0
2019-08-21,-1.6667
2019-08-26,-49.1525
2019-09-03,0.0
2019-09-11,-17.9833
2019-09-12,103.2107
2019-09-16,-28.0
2019-09-18,11.1111
2019-09-19,23.75
2019-09-23,1.0101
2019-09-24,-1.0
2019-09-26,1.0101
2019-10-01,-30.0
2019-10-07,42.8571
2019-10-08,4.0
2019-10-10,0.0
2019-10-11,-3.8462
2019-10-14,0.0
2019-10-15,38.0
2019-10-16,1.4493
2019-10-17,-11.4286
2019-10-22,3.2258
2019-10-23,9.375
2019-10-24,-8.5714
2019-10-28,-0.7813
2019-10-29,21.2598
2019-10-30,-5.1948
2019-11-01,0.6849
2019-11-05,-23.8095
2019-11-06,4.4643
2019-11-07,-0.8547
2019-11-11,0.0
2019-11-13,0.8621
2019-11-14,-5.9829
2019-11-15,2.7273
2019-11-21,20.354
2019-12-02,-48.5294
2019-12-09,-21.4286
2019-12-13,-7.2727
2019-12-16,9.8039
2019-12-23,33.9286
2019-12-26,-30.0
2019-12-27,4.6667
2019-12-31,-27.0246
2020-01-02,37.1571
2020-01-06,-27.0909
2020-01-08,49.3766
2020-01-09,-29.0484
2020-01-10,0.0
2020-01-15,0.0
2020-01-16,29.4118
2020-01-22,27.2727
2020-01-24,21.4286
2020-01-27,23.5294
2020-01-28,-23.8095
2020-01-29,-12.5
2020-02-06,14.2857
2020-02-07,25.0
2020-02-14,-9.0
2020-02-18,-12.0879
2020-02-19,0.0
2020-02-20,9.5
2020-02-21,-8.6758
2020-02-25,-37.375
2020-02-27,-20.1597
2020-03-02,20.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,-37.5
2020-03-06,0.0
2020-03-11,16.6667
2020-03-13,34.2857
2020-03-17,-40.4255
2020-03-19,-11.4286
2020-03-20,16.129
2020-03-24,0.3472
2020-03-25,-13.4948
2020-03-30,9.6
2020-03-31,-8.7591
2020-04-03,39.6
2020-04-06,143.553
2020-04-07,40.0
2020-04-08,-10.8403
2020-04-09,-12.1583
2020-04-13,-13.3852
2020-04-21,-19.4797
2020-04-22,-15.3846
2020-04-23,-9.0909
2020-04-27,-10.0
2020-04-28,11.1111
2020-04-29,-20.0
2020-04-30,27.5
2020-05-04,3.9215999999999998
2020-05-06,-50.9434
2020-05-15,92.3077
2020-05-18,-20.0
2020-05-19,22.5
2020-05-20,-18.3673
2020-05-21,0.0
2020-05-22,22.5
2020-05-27,2.0408
2020-06-01,-6.0
2020-06-08,-29.7872
2020-06-09,27.2727
2020-06-10,16.6667
2020-06-11,-13.2653
2020-06-12,5.8824
2020-06-15,15.3333
2020-06-18,-22.9287
2020-06-19,7.5
2020-06-24,-23.2558
2020-06-25,-9.0909
2020-06-26,-10.0
2020-06-29,12.037
2020-07-01,-0.8264
2020-07-06,-13.3333
2020-07-07,-1.9231
2020-07-08,-1.1764999999999999
2020-07-09,-0.7937
2020-07-10,16.0
2020-07-13,-3.4483
2020-07-15,3.5714
2020-07-17,0.0
2020-07-20,34.4828
2020-07-21,0.0
2020-07-22,-2.5641
2020-07-24,2.6316
2020-07-28,-2.5641
2020-07-29,-41.8421
2020-07-30,35.7466
