ticker,RCUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-15,13.3333
2018-03-16,3.5294
2018-03-19,-4.9432
2018-03-20,2.8093
2018-03-21,2.9651
2018-03-22,-6.0418
2018-03-23,-3.4255
2018-03-26,2.178
2018-03-27,-0.1218
2018-03-28,-2.3171
2018-03-29,-3.6205
2018-04-02,2.9145
2018-04-03,-1.7621
2018-04-04,0.2562
2018-04-05,-3.8339
2018-04-06,-4.7176
2018-04-09,-4.5328
2018-04-10,-1.0226
2018-04-11,9.5941
2018-04-12,0.3367
2018-04-13,2.4832
2018-04-16,9.4303
2018-04-17,1.4363000000000001
2018-04-18,-3.2448
2018-04-19,-1.5244
2018-04-20,0.9288
2018-04-23,-1.8405
2018-04-24,-3.8125
2018-04-25,0.5848
2018-04-26,1.0336
2018-04-27,-1.9182000000000001
2018-04-30,-0.7823
2018-05-01,-0.8541
2018-05-02,3.9099
2018-05-03,3.9541
2018-05-04,4.6012
2018-05-07,-3.9882999999999997
2018-05-08,-3.1155
2018-05-09,6.1791
2018-05-10,-3.0879
2018-05-11,-1.8995
2018-05-14,-1.9988000000000001
2018-05-15,2.8043
2018-05-16,0.372
2018-05-17,0.5559
2018-05-18,-0.9828
2018-05-21,-0.8685
2018-05-22,4.5682
2018-05-23,-4.8474
2018-05-24,1.7610000000000001
2018-05-25,0.4326
2018-05-29,-1.6
2018-05-30,-1.0006
2018-05-31,0.6317
2018-06-01,-2.6365
2018-06-04,4.1264
2018-06-05,-1.8576000000000001
2018-06-06,0.694
2018-06-07,2.005
2018-06-08,4.1155
2018-06-11,-4.8968
2018-06-12,1.799
2018-06-13,-0.2438
2018-06-14,-1.8937
2018-06-15,-0.2491
2018-06-18,-0.1248
2018-06-19,5.9375
2018-06-20,-4.0708
2018-06-21,-1.476
2018-06-22,-3.5581
2018-06-25,-5.7605
2018-06-26,-2.3352
2018-06-27,-9.6343
2018-06-28,0.7782
2018-06-29,-5.4826
2018-07-02,2.2876
2018-07-03,1.8371
2018-07-05,-1.2549000000000001
2018-07-06,2.7800000000000002
2018-07-09,-2.3957
2018-07-10,-0.9501
2018-07-11,-0.3197
2018-07-12,-2.8869
2018-07-13,0.9083
2018-07-16,-4.3372
2018-07-17,-4.876
2018-07-18,2.8777
2018-07-19,5.6818
2018-07-20,-5.2109
2018-07-23,0.7853
2018-07-24,-0.0866
2018-07-25,-0.8666
2018-07-26,2.0105
2018-07-27,-2.9991
2018-07-30,2.0318
2018-07-31,1.2987
