ticker,GFGVF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-08,114.2857
2015-10-09,-46.6667
2015-10-16,50.0
2015-10-21,-50.0
2015-10-29,33.3333
2015-11-04,-50.0
2015-11-13,25.0
2015-11-17,80.0
2015-11-18,-44.4444
2015-11-20,100.0
2015-11-27,-70.0
2015-12-02,-66.6667
2015-12-23,-50.0
2015-12-28,0.0
2015-12-30,900.0
2016-01-25,-99.75
2016-01-26,15900.0
2016-02-03,100.0
2016-02-10,-11.5625
2016-02-12,-43.4629
2016-02-16,0.0
2016-03-04,-95.0
2016-04-01,12.5
2016-04-12,77.7778
2016-04-13,0.0
2016-04-18,0.0
2016-10-11,197.5
2016-10-14,0.8403
2016-10-31,-32.5
2016-11-09,-1.1111
2017-07-10,-0.1248
2017-07-12,0.0
