ticker,HIBB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-8.0882
2000-01-05,2.4
2000-01-06,0.0
2000-01-07,11.3281
2000-01-10,-3.5088
2000-01-11,-0.3636
2000-01-12,-0.365
2000-01-13,4.7619
2000-01-14,-4.1958
2000-01-18,0.0
2000-01-19,2.1898
2000-01-20,2.1429
2000-01-21,2.0979
2000-01-24,5.6507
2000-01-25,-5.3485
2000-01-26,-1.3699
2000-01-27,1.3889
2000-01-28,0.3425
2000-01-31,-7.5085
2000-02-01,3.321
2000-02-02,0.0
2000-02-03,2.8571
2000-02-04,-3.4722
2000-02-07,1.4388
2000-02-08,-4.2553
2000-02-09,-4.4444
2000-02-10,0.3876
2000-02-11,-1.1583
2000-02-14,0.7813
2000-02-15,-1.5504
2000-02-16,-0.7874
2000-02-17,5.5556
2000-02-18,-5.2632
2000-02-22,5.5556
2000-02-23,-4.8872
2000-02-24,1.9763
2000-02-25,-3.1008
2000-02-28,0.0
2000-02-29,2.0
2000-03-01,-2.7451
2000-03-02,-8.871
2000-03-03,7.0796
2000-03-06,-7.438
2000-03-07,-2.6786
2000-03-08,7.3394
2000-03-09,-0.8547
2000-03-10,1.7241
2000-03-13,2.1186
2000-03-14,6.2241
2000-03-15,-6.25
2000-03-16,14.1667
2000-03-17,0.7299
2000-03-20,-0.3623
2000-03-21,4.0
2000-03-22,-4.8951
2000-03-23,-1.4706000000000001
2000-03-24,1.1194
2000-03-27,-0.738
2000-03-28,-0.0929
2000-03-29,10.1395
2000-03-30,3.3784
2000-03-31,7.5163
2000-04-03,2.1277
2000-04-04,4.7619
2000-04-05,3.4091
2000-04-06,1.9231
2000-04-07,-0.2695
2000-04-10,2.973
2000-04-11,-1.3123
2000-04-12,-1.0638
2000-04-13,2.1505
2000-04-14,-6.3158
2000-04-17,2.809
2000-04-18,-4.0984
2000-04-19,1.1396
2000-04-20,-0.5634
2000-04-24,9.915
2000-04-25,-4.1237
2000-04-26,-2.4194
2000-04-27,4.1322
2000-04-28,1.5873
2000-05-01,3.6458
2000-05-02,-2.5126
2000-05-03,-0.7732
2000-05-04,1.8182
2000-05-05,0.0
2000-05-08,1.2755
2000-05-09,1.0076
2000-05-10,-0.2494
2000-05-11,-1.0
2000-05-12,-1.2626
2000-05-15,0.5115
2000-05-16,-0.7634
2000-05-17,-0.5128
2000-05-18,0.0
2000-05-19,0.2577
2000-05-22,0.7712
2000-05-23,-8.6735
2000-05-24,3.9106
