ticker,NVEE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-01,0.0
2013-10-03,1.9481000000000002
2013-10-04,0.0
2013-10-09,-10.828
2013-10-11,25.5714
2013-10-14,2.3891
2013-10-15,0.3333
2013-10-16,-0.3322
2013-10-17,-2.4444
2013-10-18,-2.6182
2013-10-22,-0.5862
2013-10-23,2.1471
2013-10-24,-2.0155
2013-10-25,-0.0882
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,2.1176
2013-11-04,-2.1889
2013-11-05,-0.4711
2013-11-06,0.5917
2013-11-07,0.0
2013-11-08,0.0
2013-11-11,-0.1176
2013-11-12,0.3534
2013-11-13,-0.735
2013-11-14,-0.4419
2013-11-15,0.0594
2013-11-18,-1.7210999999999999
2013-11-19,0.2415
2013-11-20,2.0482
2013-11-21,-1.771
2013-11-25,-0.7212
2013-11-26,-1.3317
2013-11-27,0.0
2013-11-29,-0.6258
2013-12-02,0.0123
2013-12-03,-0.6173
2013-12-04,0.6211
2013-12-09,0.3704
2013-12-10,-0.0015
2013-12-12,0.0015
2013-12-13,-0.246
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,0.1233
2013-12-23,0.0
2013-12-27,-2.0936
2013-12-30,0.0
2013-12-31,2.3899
2014-01-14,-1.5971
2014-01-15,0.6227
2014-01-17,0.1256
2014-01-21,-2.8501
2014-01-22,0.1276
2014-01-23,-0.3822
2014-01-24,0.7673
2014-01-27,-1.0152
2014-01-29,-1.2821
2014-01-30,3.2468
2014-01-31,-0.2516
2014-02-06,0.5044
2014-02-28,-5.2698
2014-03-03,2.7815
2014-03-05,-0.2577
2014-03-13,0.1292
2014-03-14,-0.129
2014-03-18,-0.3876
2014-03-19,-2.4643
2014-03-20,3.0585
2014-03-21,3.2258
2014-03-24,0.0
2014-03-25,1.25
2014-03-26,2.0987999999999998
2014-03-27,8.8271
2014-03-28,1.1111
2014-03-31,9.011
2014-04-01,0.1008
2014-04-02,0.8056
2014-04-03,-0.0999
2014-04-07,0.0
2014-04-08,-1.5
2014-04-09,0.4061
2014-04-10,0.6067
2014-04-14,-0.5025
2014-04-15,0.5051
2014-04-17,0.5025
2014-04-23,-0.9
2014-04-24,-0.1009
2014-04-28,-0.5051
2014-05-01,-2.9442
2014-05-05,-3.7657
2014-05-06,2.1739
2014-05-09,1.0638
2014-05-14,1.0513
2014-05-15,-0.5195
2014-05-16,4.7107
2014-05-19,0.5013
2014-05-20,-10.4478
2014-05-21,9.0
