ticker,CWSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-06-25,25.0
2008-06-30,0.0
2008-07-09,-13.3333
2008-07-10,0.0
2008-07-14,0.0
2008-07-15,0.0
2008-07-16,0.0
2008-07-17,-7.6923
2008-07-24,8.3333
2008-07-28,0.0
2008-07-29,0.0
2008-08-01,0.0
2008-08-04,7.6923
2008-08-05,7.1429
2008-08-06,0.0
2008-08-11,5.3333
2008-08-13,1.2658
2008-08-15,0.0
2008-08-19,-0.75
2008-08-25,0.7557
2008-08-26,0.0
2008-08-27,0.0
2008-08-28,0.0
2008-08-29,0.0
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,2.5
2008-09-09,0.0
2008-09-12,0.0
2008-09-15,-6.0976
2008-09-16,7.7922
2008-09-22,2.4096
2008-09-24,0.0
2008-10-02,0.0
2008-10-03,-11.7647
2008-10-06,12.0
2008-10-09,-10.7143
2008-10-14,13.3333
2008-10-17,0.0
2008-10-23,0.0
2008-11-06,0.0
2008-11-20,0.0
2008-11-24,-11.7647
2008-11-26,12.0
2008-12-04,1.1905000000000001
2008-12-15,-23.5294
2008-12-17,-30.7692
2009-01-02,0.0
2009-01-21,-44.4444
2009-03-04,-20.0
2009-04-13,0.0
2009-04-14,-75.0
2009-04-20,0.0
2009-04-23,60.0
2009-04-24,-37.5
2009-05-07,0.0
2009-05-14,40.0
2009-05-15,-22.8571
2009-05-20,48.1481
2009-05-22,-32.5
2009-05-27,1.8519
2009-05-29,-1.8182
2009-06-19,0.0
2009-06-25,0.0
2009-06-30,0.0
2009-07-10,0.0
2009-07-23,-62.963
2009-08-18,20.0
2009-09-16,108.3333
2009-09-17,0.0
2009-09-18,0.0
2009-09-21,-40.0
2009-10-07,233.3333
2009-10-12,-4.5
2009-10-15,-47.644
2009-10-16,0.0
2009-10-20,-50.0
2009-10-21,20.0
2009-10-22,-33.3333
2009-10-23,0.0
2009-10-28,25.0
2009-11-05,0.0
2009-11-12,20.0
2009-11-24,33.3333
2009-12-01,-12.5
2009-12-09,0.0
2009-12-23,-14.2857
2010-01-05,40.0
2010-01-25,-4.7619
2010-02-01,22.9688
2010-02-22,-10.5464
2010-02-23,0.0
2010-02-24,-9.0909
2010-03-02,-23.75
2010-03-18,0.0
2010-04-01,-1.6393
2010-04-29,-16.6667
2010-06-04,-40.0
2010-06-07,0.0
2010-07-15,0.0
2010-07-28,0.0
2010-08-25,-33.3333
2010-08-27,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-11-09,20.0
