ticker,CLRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-08,400.0
2005-12-02,40.0
2005-12-05,45.7143
2005-12-07,0.0
2005-12-09,47.0588
2005-12-14,-53.3333
2005-12-16,-42.8571
2005-12-20,0.0
2005-12-30,0.0
2006-01-04,-5.0
2006-01-05,5.2632
2006-01-18,-25.0
2006-01-27,66.6667
2006-02-02,0.0
2006-02-07,20.0
2006-02-08,-16.6667
2006-03-27,60.0
2006-07-19,-12.5
2006-08-15,-28.5714
2006-09-29,-16.0
2006-10-18,0.0
2006-10-30,-9.5238
2006-10-31,0.0
2006-11-08,-15.7895
2006-11-17,6.25
2007-02-15,11.7647
2007-02-16,-5.2632
2007-02-28,33.3333
2007-03-21,4.1667
2007-03-29,0.0
2007-04-02,0.0
2007-04-03,20.0
2007-04-04,-16.6667
2007-04-11,20.0
2007-04-18,0.0
2007-04-19,16.6667
2007-04-20,28.5714
2007-04-25,-22.2222
2007-04-30,0.0
2007-07-06,-14.2857
2007-07-11,-16.6667
2007-07-16,40.0
2007-08-20,-42.8571
2007-09-12,0.0
2007-10-11,0.0
2007-10-31,0.0
2007-11-08,0.0
2008-01-16,-25.0
2008-02-21,33.3333
2008-03-27,-25.0
2008-03-28,0.0
2008-04-17,0.0
2008-04-30,0.0
2008-05-06,-56.6667
2008-05-07,23.0769
2008-05-22,9.375
2008-05-30,128.5714
2008-07-07,-40.0
2008-07-10,0.0
2008-09-15,0.0
2008-09-16,0.0
2008-09-17,-16.6667
2008-09-29,0.0
2008-09-30,0.0
2008-10-30,-40.0
2008-11-04,-16.6667
2008-11-25,0.0
2008-12-04,100.0
2008-12-05,-10.0
2008-12-10,-22.2222
2008-12-11,0.0
2008-12-16,-28.5714
2008-12-22,0.0
2008-12-29,0.0
2008-12-30,0.0
2008-12-31,0.0
2009-01-08,-40.0
2009-01-13,66.6667
2009-01-14,0.0
2009-01-16,60.0
2009-01-20,25.0
2009-01-21,0.0
2009-01-22,-20.0
2009-01-23,150.0
2009-01-26,-25.0
2009-01-27,6.6667
2009-01-28,-12.5
2009-01-29,-46.3393
2009-01-30,-46.7554
2009-02-02,-12.5
2009-02-03,5.7143
2009-02-04,5.4054
2009-02-05,-2.5641
2009-02-06,15.4605
2009-02-09,0.0
2009-02-10,-8.8319
2009-02-11,-12.5
2009-02-12,8.5714
2009-02-13,5.2632
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,-2.5
2009-02-20,-12.8205
2009-02-23,2.9412000000000003
2009-02-24,0.0
