ticker,CVGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-05,0.7692
2004-08-06,-0.458
2004-08-09,3.681
2004-08-10,-0.8876
2004-08-11,0.3731
2004-08-12,-1.3829
2004-08-13,-0.1055
2004-08-16,0.0
2004-08-17,3.0943
2004-08-18,-0.4392
2004-08-19,2.3529
2004-08-20,-0.5029
2004-08-23,1.083
2004-08-24,1.0
2004-08-25,0.0
2004-08-26,9.1231
2004-08-27,-1.5554000000000001
2004-08-30,-1.3167
2004-08-31,-2.068
2004-09-01,2.4251
2004-09-02,-2.228
2004-09-03,2.0339
2004-09-07,0.6667
2004-09-08,-0.6623
2004-09-09,-0.2667
2004-09-10,2.9412000000000003
2004-09-13,-2.3377
2004-09-14,0.266
2004-09-15,-2.0557
2004-09-16,1.9634
2004-09-17,-0.3984
2004-09-20,0.1333
2004-09-21,6.3249
2004-09-22,-0.9393
2004-09-23,-1.201
2004-09-24,2.3672
2004-09-27,-1.75
2004-09-28,0.2545
2004-09-29,2.9124
2004-09-30,-2.3368
2004-10-01,-0.4419
2004-10-04,1.4585
2004-10-05,-0.0625
2004-10-06,0.0
2004-10-07,0.9381
2004-10-08,-2.7260999999999997
2004-10-11,3.2484
2004-10-12,-3.0845
2004-10-13,-1.7187000000000001
2004-10-14,-0.3238
2004-10-15,-1.1696
2004-10-18,1.0519
2004-10-19,-3.4483
2004-10-20,6.7385
2004-10-21,-5.4924
2004-10-22,0.2004
2004-10-25,2.2667
2004-10-26,-0.2608
2004-10-27,3.9215999999999998
2004-10-28,1.2579
2004-10-29,0.4348
2004-11-01,2.0408
2004-11-02,-1.2121
2004-11-03,1.7178
2004-11-04,1.8094000000000001
2004-11-05,-0.2962
2004-11-08,-1.0695000000000001
2004-11-09,0.7207
2004-11-10,6.3208
2004-11-11,1.0656
2004-11-12,0.1665
2004-11-15,4.2105
2004-11-16,-1.7012
2004-11-17,1.6766
2004-11-18,1.0106
2004-11-19,-1.0005
2004-11-22,-0.1596
2004-11-23,-0.3729
2004-11-24,4.7059
2004-11-26,0.6129
2004-11-29,0.0
2004-11-30,-0.5076
2004-12-01,0.9694
2004-12-02,0.6064
2004-12-03,1.6072
2004-12-06,-1.4828999999999999
2004-12-07,-1.8565
2004-12-08,0.7157
2004-12-09,-0.0508
2004-12-10,-1.9807000000000001
2004-12-13,1.7617
2004-12-14,-0.2037
2004-12-15,1.5306
2004-12-16,-1.3568
2004-12-17,7.4376
2004-12-20,-0.8535
2004-12-21,0.4304
