ticker,BWEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-28,0.0
2000-02-02,-8.6957
2000-02-14,4.7619
2000-04-03,-2.2727
2000-04-13,10.6977
2000-05-02,-1.2605
2000-05-05,2.1277
2000-05-09,0.0
2000-09-01,-4.2373
2000-09-29,19.469
2000-12-04,-9.5327
2000-12-11,1.2397
2001-03-09,15.4639
2001-05-17,5.3571
2001-05-23,-10.1695
2001-06-13,18.0952
2001-08-30,-8.9431
2001-08-31,7.1429
2001-09-17,1.6667
2001-09-27,0.0
2001-11-01,1.3115
2001-11-06,-7.767
2001-11-07,5.2632
2001-11-30,0.8403
2001-12-12,-0.3333
2001-12-13,0.3344
2001-12-26,0.0
2002-02-15,0.3333
2002-02-19,7.9734
2002-08-01,-6.1767
2002-08-13,-3.3333
2002-08-19,0.0
2002-08-20,1.7241
2002-10-03,7.4423
2002-10-08,-0.9554
2002-10-09,0.1608
2002-10-22,-8.1862
2002-10-23,3.1469
2002-12-05,-3.5073
2002-12-06,2.8369
2002-12-09,0.0
2003-02-13,-1.3793
2003-03-05,1.1474
2003-03-06,-0.1745
2003-04-04,1.7483
2003-04-10,3.0928
2003-05-09,-1.0
2003-08-07,1.6143
2003-08-28,-8.7838
2003-09-15,7.2222
2003-09-23,3.6269
2003-11-05,0.0
2003-11-06,2.8333
2003-11-10,-2.7553
2003-11-11,0.3333
2003-11-12,0.1661
2003-11-21,1.4925
2003-11-26,0.6536
2003-12-04,1.3115
2003-12-22,-1.2945
2004-01-05,-0.3279
2004-01-09,1.9737
2004-01-15,1.6129
2004-01-22,0.0
2004-01-28,-0.9524
2004-02-03,8.3333
2004-02-09,3.5503
2004-02-12,-1.4285999999999999
2004-02-13,-1.4493
2004-02-17,0.5882
2004-02-18,-0.4386
2004-02-23,2.79
2004-02-26,-0.5714
2004-03-05,1.4493
2004-03-22,6.5714
2004-03-23,1.3405
2004-04-19,6.3492
2004-04-20,1.99
2004-05-19,-4.878
2004-05-20,2.5641
2004-06-01,0.8192
2004-06-23,0.0
2004-06-25,0.75
2004-07-01,0.0
2004-08-03,5.4591
2004-08-25,5.8824
2004-10-22,10.8002
2004-10-25,2.0202
2004-11-12,4.9505
2004-11-24,2.2641999999999998
2004-12-03,9.5128
2004-12-07,1.6949
2005-01-12,0.0
2005-01-13,3.3333
2005-02-02,-0.6452
2005-02-08,-0.974
2005-02-25,1.6393
2005-03-02,0.0
2005-03-15,-6.4516
2005-04-13,2.5862
2005-05-03,-2.521
