ticker,SPWH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-17,2.6316
2014-04-21,-2.5641
2014-04-22,1.6842000000000001
2014-04-23,-1.9668999999999999
2014-04-24,7.9197
2014-04-25,2.544
2014-04-28,4.0076
2014-04-29,-1.7431
2014-04-30,-1.6806999999999999
2014-05-01,-2.6591
2014-05-02,-1.6585
2014-05-05,-2.6786
2014-05-06,-1.7328999999999999
2014-05-07,-1.6598000000000002
2014-05-08,1.6878
2014-05-09,4.7718
2014-05-12,-5.4455
2014-05-13,-0.5236
2014-05-14,-0.3158
2014-05-15,-1.1088
2014-05-16,-0.4805
2014-05-19,-1.1803
2014-05-20,-15.8523
2014-05-21,1.6774
2014-05-22,1.7766
2014-05-23,13.217
2014-05-27,1.9824000000000002
2014-05-28,-2.8078
2014-05-29,1.0
2014-05-30,1.5402
2014-06-02,0.1083
2014-06-03,-0.1082
2014-06-04,0.325
2014-06-05,-0.6479
2014-06-06,-0.2174
2014-06-09,-1.634
2014-06-10,-4.7619
2014-06-11,3.3721
2014-06-12,-2.1372
2014-06-13,-1.0345
2014-06-16,-0.6969
2014-06-17,-5.4971
2014-06-18,-0.9901
2014-06-19,2.0
2014-06-20,-0.8578
2014-06-23,5.068
2014-06-24,-0.2353
2014-06-25,-2.8302
2014-06-26,-1.0922
2014-06-27,-3.3129
2014-06-30,1.5228000000000002
2014-07-01,-2.75
2014-07-02,-0.6427
2014-07-03,3.4929
2014-07-07,-2.375
2014-07-08,0.128
2014-07-09,-1.1509
2014-07-10,0.2587
2014-07-11,-6.0645
2014-07-14,-1.9231
2014-07-15,-1.9607999999999999
2014-07-16,-7.8571
2014-07-17,2.9457
2014-07-18,-1.8072
2014-07-21,-2.3006
2014-07-22,-4.0816
2014-07-23,-1.4729999999999999
2014-07-24,0.8306
2014-07-25,0.4942
2014-07-28,2.7869
2014-07-29,-1.4354
2014-07-30,-1.4563
2014-07-31,-4.9261
2014-08-01,0.0
2014-08-04,-2.9361
2014-08-05,-1.7793999999999999
2014-08-06,-1.087
2014-08-07,7.5092
2014-08-08,1.5332
2014-08-11,0.0
2014-08-12,-3.5235
2014-08-13,3.4783
2014-08-14,2.6891
2014-08-15,-0.982
2014-08-18,2.6446
2014-08-19,1.4493
2014-08-20,-2.0635
2014-08-21,-1.2966
2014-08-22,1.3136
2014-08-25,-2.7553
2014-08-26,1.8333
2014-08-27,-1.1457
2014-08-28,-0.8278
2014-08-29,0.3339
2014-09-02,-4.9917
2014-09-03,-3.3275
