ticker,XBIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-15,22.3684
2015-04-16,-2.3226
2015-04-17,15.2796
2015-04-20,20.3209
2015-04-21,-13.1111
2015-04-22,0.6577
2015-04-23,-0.3993
2015-04-24,-16.3994
2015-04-27,-13.034
2015-04-28,-0.3008
2015-04-29,0.2514
2015-04-30,-8.4754
2015-05-01,-3.3425000000000002
2015-05-04,5.7823
2015-05-05,-2.4652
2015-05-06,-3.1319
2015-05-07,3.4032999999999998
2015-05-08,4.7449
2015-05-11,5.4726
2015-05-12,0.2979
2015-05-13,2.7228
2015-05-14,-4.8675
2015-05-15,0.9625
2015-05-18,-0.9032
2015-05-19,-6.7341999999999995
2015-05-20,2.2801
2015-05-21,1.1146
2015-05-22,8.084
2015-05-26,-1.7970000000000002
2015-05-27,-1.0386
2015-05-28,-0.4498
2015-05-29,-4.0161
2015-06-01,-2.7720000000000002
2015-06-02,3.2275
2015-06-03,7.3476
2015-06-04,-6.2621
2015-06-05,4.609
2015-06-08,3.6139
2015-06-09,3.6311999999999998
2015-06-10,1.4753
2015-06-11,-0.0454
2015-06-12,0.6818
2015-06-15,-0.7223
2015-06-16,-5.9573
2015-06-17,2.4662
2015-06-18,-2.6428000000000003
2015-06-19,-2.2782
2015-06-22,1.6369
2015-06-23,-1.8546
2015-06-24,-0.5967
2015-06-25,-1.5508
2015-06-26,-3.6077
2015-06-29,-3.7428
2015-06-30,-0.9858
2015-07-01,-0.3319
2015-07-02,-1.6648
2015-07-06,3.781
2015-07-07,1.3594
2015-07-08,-10.4077
2015-07-09,2.3353
2015-07-10,-1.2288000000000001
2015-07-13,-3.7321999999999997
2015-07-14,-6.0308
2015-07-15,1.3098
2015-07-16,10.2133
2015-07-17,11.6129
2015-07-20,2.9953
2015-07-21,4.5918
2015-07-22,1.0244
2015-07-23,-5.2149
2015-07-24,-3.7697000000000003
2015-07-27,0.6882
2015-07-28,4.1009
2015-07-29,-3.7879
2015-07-30,-2.8346
2015-07-31,0.7563
2015-08-03,-6.2735
2015-08-04,-9.4966
2015-08-05,0.0632
2015-08-06,-7.8332
2015-08-07,-4.9349
2015-08-10,7.7866
2015-08-11,5.3512
2015-08-12,0.0635
2015-08-13,5.6472
2015-08-14,1.2012
2015-08-17,-2.1365
2015-08-18,2.6683
2015-08-19,2.4217
2015-08-20,-1.9031
2015-08-21,8.2892
2015-08-24,-1.1401
2015-08-25,-7.743
2015-08-26,2.5
2015-08-27,3.4843
2015-08-28,3.5354
