ticker,CSTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-23,-3.1333
2013-05-24,1.9959
2013-05-28,0.2024
2013-05-29,-1.4815
2013-05-30,1.0253
2013-05-31,-0.5413
2013-06-03,2.1088
2013-06-04,0.3331
2013-06-05,-0.5312
2013-06-06,-0.2003
2013-06-07,0.602
2013-06-10,0.4654
2013-06-11,-1.9193
2013-06-12,0.4049
2013-06-13,0.4704
2013-06-14,1.3378
2013-06-17,-0.7921
2013-06-18,1.1976
2013-06-19,1.4464000000000001
2013-06-20,0.1944
2013-06-21,-0.9056
2013-06-24,-1.1097
2013-06-25,-1.1221
2013-06-26,0.8011
2013-06-27,5.1656
2013-06-28,1.7003
2013-07-01,0.6192
2013-07-02,-2.4
2013-07-03,2.0177
2013-07-05,0.8653
2013-07-08,1.3479999999999999
2013-07-09,-1.0278
2013-07-10,2.81
2013-07-11,2.1390000000000002
2013-07-12,-1.0471
2013-07-15,0.5291
2013-07-16,0.4678
2013-07-17,-1.2806
2013-07-18,2.8891999999999998
2013-07-19,-0.5731
2013-07-22,1.9020000000000001
2013-07-23,-0.6222
2013-07-24,-2.5612
2013-07-25,2.2196
2013-07-26,2.9714
2013-07-29,1.7203
2013-07-30,0.1637
2013-07-31,-0.817
2013-08-01,-0.5491
2013-08-02,1.3805
2013-08-05,1.634
2013-08-06,-0.3215
2013-08-07,-3.4409
2013-08-08,1.8374000000000001
2013-08-09,-1.6402
2013-08-12,-1.8344
2013-08-13,1.8686
2013-08-14,1.2229
2013-08-15,-1.0434
2013-08-16,-0.9434
2013-08-19,-0.6162
2013-08-20,-0.3946
2013-08-21,-0.3396
2013-08-22,0.2271
2013-08-23,-0.17
2013-08-26,2.7809
2013-08-27,-0.3865
2013-08-28,0.8315
2013-08-29,-1.9790999999999999
2013-08-30,-0.7291
2013-09-03,6.4972
2013-09-04,3.7135
2013-09-05,1.7903
2013-09-06,-0.1005
2013-09-09,0.3018
2013-09-10,0.0
2013-09-11,-1.1535
2013-09-12,-2.1816
2013-09-13,1.2448
2013-09-16,-0.6148
2013-09-17,0.2062
2013-09-18,3.5494
2013-09-19,-0.4968
2013-09-20,-1.4978
2013-09-23,-1.4192
2013-09-24,-0.6684
2013-09-25,-2.2774
2013-09-26,0.6886
2013-09-27,0.8943
2013-09-30,1.147
2013-10-01,-4.2783999999999995
2013-10-02,-1.6155
2013-10-03,-1.04
2013-10-04,1.9912
2013-10-07,-0.4338
2013-10-08,0.1634
2013-10-09,-1.6857
