ticker,RCKT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-18,0.0
2015-02-19,0.8333
2015-02-20,0.6612
2015-02-23,0.1642
2015-02-24,-1.4754
2015-02-25,-0.1664
2015-02-26,0.8333
2015-02-27,-0.4959
2015-03-02,0.3322
2015-03-03,-0.6623
2015-03-04,0.0
2015-03-05,-0.0802
2015-03-06,0.0803
2015-03-09,0.0
2015-03-10,-1.6667
2015-03-11,-0.1695
2015-03-12,-3.2258
2015-03-13,-0.1754
2015-03-16,-0.1757
2015-03-17,0.7042
2015-03-18,-2.0979
2015-03-19,6.0714
2015-03-20,-3.1987
2015-03-23,6.087
2015-03-24,-2.623
2015-03-25,-2.0202
2015-03-26,-1.3746
2015-03-27,-2.6132
2015-03-30,-7.1556
2015-03-31,4.4315999999999995
2015-04-01,3.321
2015-04-02,-6.25
2015-04-06,1.1429
2015-04-07,-2.0716
2015-04-08,4.4231
2015-04-09,-4.0516
2015-04-10,-1.7274
2015-04-13,3.5156
2015-04-14,-4.3396
2015-04-15,-0.1972
2015-04-16,-0.9881
2015-04-17,0.0
2015-04-20,-4.5908
2015-04-21,0.8368
2015-04-22,-0.4149
2015-04-23,-1.0417
2015-04-24,18.1053
2015-04-27,-2.3173
2015-04-28,2.1898
2015-04-29,9.1071
2015-04-30,-0.8183
2015-05-01,-3.3003
2015-05-04,1.1092
2015-05-05,-0.9283
2015-05-06,0.3407
2015-05-07,-0.6791
2015-05-08,-1.1966
2015-05-11,0.692
2015-05-12,-1.5464
2015-05-13,0.9599
2015-05-14,1.2965
2015-05-15,-1.0239
2015-05-18,0.8621
2015-05-19,-0.5128
2015-05-20,-0.8591
2015-05-21,1.9064
2015-05-22,1.0204
2015-05-26,-2.1044
2015-05-27,-0.086
2015-05-28,-1.0327
2015-05-29,1.7391
2015-06-01,-2.906
2015-06-02,1.0563
2015-06-03,1.0453
2015-06-04,-1.7241
2015-06-05,2.4561
2015-06-08,-2.0548
2015-06-09,0.3497
2015-06-10,0.8711
2015-06-11,0.1727
2015-06-12,-0.3448
2015-06-15,1.2111
2015-06-16,-1.3675
2015-06-17,-2.9463
2015-06-18,-0.7143
2015-06-19,-3.777
2015-06-22,2.0561
2015-06-23,-2.9304
2015-06-24,-5.0943
2015-06-25,1.5905
2015-06-26,-2.1526
2015-06-29,-2.6
2015-06-30,0.616
2015-07-01,-0.6122
2015-07-02,-1.232
2015-07-06,0.2079
2015-07-07,3.527
2015-07-08,0.0
2015-07-09,-2.6052
