ticker,REED US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,0.5195
2007-01-08,-4.3928
2007-01-09,-18.9189
2007-01-10,20.0
2007-01-11,4.1667
2007-01-12,-13.3333
2007-01-17,7.6923
2007-01-18,-10.0
2007-01-19,11.1111
2007-01-22,-7.4286
2007-01-23,-7.4074
2007-01-24,11.6667
2007-01-25,3.5821
2007-01-26,8.0692
2007-01-29,-13.3333
2007-01-30,-1.5385
2007-01-31,10.9375
2007-02-01,-9.8592
2007-02-02,3.125
2007-02-05,-2.7273
2007-02-06,0.6231
2007-02-07,2.1672
2007-02-08,0.303
2007-02-09,5.7402
2007-02-12,2.8571
2007-02-13,3.3333
2007-02-14,-0.5376
2007-02-15,0.0
2007-02-16,-2.7027
2007-02-21,4.1667
2007-02-22,1.3333
2007-02-23,0.5263
2007-02-26,-1.5707
2007-02-27,1.0638
2007-02-28,-7.8947
2007-03-01,5.7143
2007-03-02,-1.0811
2007-03-05,-7.9235
2007-03-06,8.3086
2007-03-07,1.3699
2007-03-08,-2.7027
2007-03-09,6.9444
2007-03-12,0.0
2007-03-13,-5.1948
2007-03-14,2.7397
2007-03-15,0.0
2007-03-16,0.0
2007-03-19,0.0
2007-03-20,-0.8
2007-03-21,-5.914
2007-03-22,4.2857
2007-03-23,-4.1096
2007-03-26,4.2857
2007-03-27,2.7397
2007-03-28,26.6667
2007-03-29,50.9474
2007-03-30,-13.8075
2007-04-02,-2.9126
2007-04-03,0.5
2007-04-04,8.6235
2007-04-05,12.9084
2007-04-09,17.6391
2007-04-10,-4.5977
2007-04-11,-3.3735
2007-04-12,10.7232
2007-04-13,1.3514
2007-04-16,-2.7778
2007-04-17,-0.5714
2007-04-18,-6.8966
2007-04-19,-6.1728
2007-04-20,5.2632
2007-04-23,0.0
2007-04-24,-3.75
2007-04-25,10.0
2007-04-26,-2.5974
2007-04-27,1.8182
2007-04-30,1.7856999999999998
2007-05-01,-6.4327
2007-05-02,1.5
2007-05-03,2.2167
2007-05-04,-8.4337
2007-05-07,1.3158
2007-05-08,1.2987
2007-05-09,-2.4359
2007-05-10,1.1827
2007-05-11,-0.6494
2007-05-14,-8.4967
2007-05-15,3.5714
2007-05-16,-8.0
2007-05-17,7.1964
2007-05-18,3.7762000000000002
2007-05-21,-2.2911
2007-05-22,-3.4483
2007-05-23,4.5714
2007-05-24,-0.2732
2007-05-25,0.6849
2007-05-29,-4.7619
2007-05-30,-3.7143
