ticker,PGRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-19,3.8857
2014-11-20,-0.165
2014-11-21,1.5427
2014-11-24,0.7054
2014-11-25,1.2392
2014-11-26,0.0
2014-11-28,0.0532
2014-12-01,-2.9255
2014-12-02,0.1096
2014-12-03,1.2589000000000001
2014-12-04,0.0
2014-12-05,-0.4865
2014-12-08,-0.3259
2014-12-09,-0.109
2014-12-10,-0.5456
2014-12-11,1.0422
2014-12-12,-0.4343
2014-12-15,-1.5267
2014-12-16,0.2215
2014-12-17,1.2155
2014-12-18,0.1638
2014-12-19,-1.4714
2014-12-22,1.8805
2014-12-23,0.5972
2014-12-24,-0.3778
2014-12-26,0.9751
2014-12-29,-0.7511
2014-12-30,1.2973
2014-12-31,-0.8004
2015-01-02,1.0221
2015-01-05,0.9052
2015-01-06,0.5277
2015-01-07,1.9948000000000001
2015-01-08,0.3088
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,-0.8722
2015-01-14,-0.5176
2015-01-15,-0.7804
2015-01-16,1.3634
2015-01-20,-0.1035
2015-01-21,-1.0357
2015-01-22,1.2036
2015-01-23,-0.1551
2015-01-26,1.5018
2015-01-27,-0.2041
2015-01-28,0.0511
2015-01-29,0.9198
2015-01-30,-2.0253
2015-02-02,-0.5168
2015-02-03,1.4026
2015-02-04,-1.0758
2015-02-05,0.1554
2015-02-06,-3.8263
2015-02-09,-0.6452
2015-02-10,1.3528
2015-02-11,-1.0144
2015-02-12,0.5933
2015-02-13,-0.5898
2015-02-17,0.9709
2015-02-18,1.1752
2015-02-19,-1.1616
2015-02-20,0.2671
2015-02-23,0.0
2015-02-24,-1.545
2015-02-25,0.1623
2015-02-26,-2.269
2015-02-27,1.4373
2015-03-02,0.7629
2015-03-03,0.5408
2015-03-04,-0.269
2015-03-05,-0.5933
2015-03-06,-2.5502000000000002
2015-03-09,2.667
2015-03-10,0.8967
2015-03-11,1.8408
2015-03-12,1.6481
2015-03-13,-1.4644
2015-03-16,2.4416
2015-03-17,0.0
2015-03-18,1.399
2015-03-19,-0.7665
2015-03-20,0.8239
2015-03-23,-0.1532
2015-03-24,-2.046
2015-03-25,-1.5666
2015-03-26,0.1061
2015-03-27,1.4308
2015-03-30,1.3584
2015-03-31,-0.5155
2015-04-01,-1.1399
2015-04-02,1.2579
2015-04-06,1.1905000000000001
2015-04-07,-3.2225
2015-04-08,-0.0529
2015-04-09,-2.1682
2015-04-10,0.9189
2015-04-13,-0.857
2015-04-14,1.6207
