ticker,CCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-01,2.7333
2015-07-02,-0.3245
2015-07-06,-1.6926999999999999
2015-07-07,-0.4636
2015-07-08,-0.0665
2015-07-09,0.8655
2015-07-10,0.066
2015-07-13,3.8918
2015-07-14,0.8889
2015-07-15,0.0629
2015-07-16,-1.8868
2015-07-17,-1.2821
2015-07-20,-0.6494
2015-07-21,-2.0915
2015-07-22,0.0
2015-07-23,-0.6676
2015-07-24,-1.6801
2015-07-27,0.2734
2015-07-28,1.6360000000000001
2015-07-29,-1.3414
2015-07-30,-0.2039
2015-07-31,-1.0899
2015-08-03,-4.6143
2015-08-04,1.8051
2015-08-05,2.8369
2015-08-06,-2.069
2015-08-07,2.1831
2015-08-10,-4.5486
2015-08-11,-5.4152000000000005
2015-08-12,0.3817
2015-08-13,0.7605
2015-08-14,-0.6792
2015-08-17,1.4438
2015-08-18,-0.3745
2015-08-19,3.2331
2015-08-20,0.0728
2015-08-21,5.313
2015-08-24,0.3447
2015-08-25,-7.6438
2015-08-26,5.6674
2015-08-27,3.458
2015-08-28,-2.1146
2015-08-31,4.2509
2015-09-01,-3.9973
2015-09-02,0.2646
2015-09-03,-0.3472
2015-09-04,-1.9512
2015-09-08,2.4876
2015-09-09,-0.2774
2015-09-10,2.9207
2015-09-11,-3.9865
2015-09-14,1.126
2015-09-15,-0.0696
2015-09-16,0.6259
2015-09-17,-0.6912
2015-09-18,-1.2544
2015-09-21,1.7643
2015-09-22,-0.4854
2015-09-23,0.0
2015-09-24,2.1603
2015-09-25,-6.1392
2015-09-28,-12.6453
2015-09-29,-3.827
2015-09-30,-2.6817
2015-10-01,0.8
2015-10-02,-2.0282
2015-10-05,5.6706
2015-10-06,2.4702
2015-10-07,3.0756
2015-10-08,0.4032
2015-10-09,1.5261
2015-10-12,-1.1076
2015-10-13,-0.72
2015-10-14,0.6044
2015-10-15,-2.6031
2015-10-16,-2.2204
2015-10-19,1.5139
2015-10-20,0.9942
2015-10-21,0.4922
2015-10-22,-0.3265
2015-10-23,2.8665000000000003
2015-10-26,-0.7962
2015-10-27,4.0128
2015-10-28,3.9352
2015-10-29,-3.9347
2015-10-30,0.0
2015-11-02,1.3138
2015-11-03,-0.1144
2015-11-04,3.315
2015-11-05,-0.3831
2015-11-06,-4.3846
2015-11-09,-1.0459
2015-11-10,-0.1626
2015-11-11,-3.4202
2015-11-12,-1.2648
2015-11-13,0.0854
2015-11-16,2.3891
2015-11-17,0.75
2015-11-18,1.8197
