ticker,NGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-12,-0.0952
2011-05-13,-1.0963
2011-05-16,0.6747
2011-05-17,0.5266
2011-05-18,1.381
2011-05-19,2.1606
2011-05-20,-0.3218
2011-05-23,-1.0148
2011-05-24,-1.2116
2011-05-25,-2.1698
2011-05-26,-0.2411
2011-05-27,-0.9183
2011-05-31,2.1463
2011-06-01,-1.4804
2011-06-02,0.6302
2011-06-03,-2.2640000000000002
2011-06-06,-4.5343
2011-06-07,-3.2008
2011-06-08,3.9467
2011-06-09,3.1811
2011-06-10,0.1989
2011-06-13,-1.2903
2011-06-14,1.1564
2011-06-15,-4.5725999999999996
2011-06-16,-3.0208
2011-06-17,0.1611
2011-06-20,1.3405
2011-06-21,5.7672
2011-06-22,0.0
2011-06-23,-2.042
2011-06-24,0.7057
2011-06-27,1.1663000000000001
2011-06-28,0.2506
2011-06-29,2.45
2011-06-30,-2.6842
2011-07-01,0.3009
2011-07-05,1.7
2011-07-06,-1.4258
2011-07-07,3.2419000000000002
2011-07-08,-0.7246
2011-07-11,-1.4599
2011-07-12,-2.4691
2011-07-13,-2.2278000000000002
2011-07-14,2.0197
2011-07-15,0.7107
2011-07-18,0.9073
2011-07-19,1.8975
2011-07-20,-1.47
2011-07-21,0.995
2011-07-22,-1.4778
2011-07-25,-0.9
2011-07-26,-0.1009
2011-07-27,-0.2525
2011-07-28,2.8861
2011-07-29,-2.5591
2011-08-01,2.3581
2011-08-02,-2.9851
2011-08-03,-1.5385
2011-08-04,-2.6562
2011-08-05,3.1033
2011-08-08,-3.8921
2011-08-09,0.378
2011-08-10,-0.5917
2011-08-11,-0.4329
2011-08-12,1.5217
2011-08-15,4.6574
2011-08-16,0.3069
2011-08-17,5.5584
2011-08-18,-1.7391
2011-08-19,0.295
2011-08-22,-1.4706000000000001
2011-08-23,0.4975
2011-08-24,0.9901
2011-08-25,-1.1764999999999999
2011-08-26,0.9425
2011-08-29,1.3268
2011-08-30,-1.0669
2011-08-31,4.902
2011-09-01,1.3551
2011-09-02,1.752
2011-09-06,1.8577
2011-09-07,0.9786
2011-09-08,-2.4229
2011-09-09,0.0
2011-09-12,-1.4898
2011-09-13,1.0541
2011-09-14,-0.0907
2011-09-15,0.1816
2011-09-16,-0.7703
2011-09-19,0.0
2011-09-20,0.0913
2011-09-21,0.1369
2011-09-22,-2.0046
2011-09-23,-0.9298
2011-09-26,0.6523
2011-09-27,1.1702
2011-09-28,-2.7189
2011-09-29,4.1213
