ticker,ERAO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-08-14,25.0
2001-08-15,0.0
2001-08-21,0.0
2001-08-22,0.0
2001-08-27,40.0
2001-08-28,39.2857
2001-08-31,2.5641
2001-09-18,2.5
2001-09-19,9.7561
2001-09-25,37.7778
2001-09-26,-8.0645
2001-09-28,8.7719
2001-10-08,16.129
2001-10-09,-2.7778
2001-10-30,2.8571
2001-10-31,13.8889
2001-11-27,-2.439
2002-01-11,0.0
2002-01-14,15.0
2002-01-15,0.0
2002-01-16,-2.1739
2002-01-25,2.2222
2002-02-06,-2.1739
2002-02-12,13.3333
2002-03-12,9.8039
2002-03-26,-1.7856999999999998
2002-03-27,0.0
2002-04-01,0.0
2002-04-24,1.8182
2002-05-10,-1.7856999999999998
2002-05-13,5.4545
2002-05-14,3.4483
2002-05-20,-3.3333
2002-05-21,3.4483
2002-06-18,-10.0
2002-06-21,11.1111
2002-06-24,5.8333
2002-07-05,0.0
2002-07-08,-1.5748
2002-07-09,17.6
2002-07-23,-4.7619
2002-08-26,5.0
2002-09-09,-1.3605
2002-09-17,4.8276
2002-09-18,0.0
2002-09-20,0.0
2002-09-23,5.2632
2002-09-30,-5.0
2002-10-03,5.2632
2002-10-21,4.375
2002-10-23,-4.1916
2002-10-24,4.375
2002-10-30,-1.1976
2002-11-07,0.0
2002-11-22,-1.8182
2002-11-25,-10.4938
2002-11-27,0.0
2002-12-02,0.0
2002-12-03,10.3448
2002-12-04,3.75
2002-12-05,-12.6506
2002-12-11,13.7931
2002-12-23,-12.1212
2002-12-27,17.2414
2002-12-31,-5.8824
2003-01-22,-50.0
2003-01-23,100.0
2003-01-29,6.25
2003-01-31,-2.9412000000000003
2003-02-05,3.0303
2003-02-10,-5.8824
2003-02-12,-9.375
2003-04-09,-44.8276
2003-04-10,75.0
2003-04-15,0.0
2003-06-12,-14.2857
2003-06-13,0.0
2003-07-03,0.0
2003-07-08,2.6667
2003-08-19,-97.5649
2003-08-21,3900.0
2003-09-04,0.0
2003-11-18,-25.0
2004-01-21,-94.4444
2004-12-08,-76.0
2004-12-14,-16.6667
2004-12-16,-20.0
2004-12-21,-50.0
2005-01-24,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-19,50.0
2005-08-05,-66.6667
2006-03-29,0.0
2006-05-03,0.0
2006-06-13,100.0
2006-07-24,-50.0
2006-08-07,50.0
2006-12-18,0.0
2006-12-20,0.0
2007-04-02,-66.6667
2007-04-03,-40.0
2007-04-04,0.0
