ticker,EMGCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-08,0.5581
2011-02-09,0.2775
2011-02-10,-0.0923
2011-02-11,0.6464
2011-02-14,0.8257
2011-02-15,-1.0919
2011-02-16,-0.092
2011-02-17,-1.0129
2011-02-18,-1.0233
2011-02-22,-3.7594
2011-02-23,0.4883
2011-02-24,0.6803
2011-02-25,4.2471
2011-02-28,1.2963
2011-03-01,-0.0914
2011-03-02,-2.1043
2011-03-03,0.7477
2011-03-04,-0.4638
2011-03-07,0.1864
2011-03-08,0.093
2011-03-09,-0.4647
2011-03-10,-1.0271
2011-03-11,-0.0943
2011-03-14,-0.8499
2011-03-15,-1.1429
2011-03-16,1.6378
2011-03-17,0.0
2011-03-18,-1.8957000000000002
2011-03-21,-0.3865
2011-03-22,-0.097
2011-03-23,-0.6796
2011-03-24,-0.782
2011-03-25,-0.9852
2011-03-28,0.398
2011-03-29,1.8831
2011-03-30,0.1946
2011-03-31,-1.4563
2011-04-01,-1.9704000000000002
2011-04-04,-1.206
2011-04-05,-0.8138
2011-04-06,4.1026
2011-04-07,-2.8571
2011-04-08,0.7099
2011-04-11,0.0
2011-04-12,0.4028
2011-04-13,-1.7050999999999998
2011-04-14,-0.7143
2011-04-15,0.4111
2011-04-18,-0.6141
2011-04-19,0.103
2011-04-20,2.2634
2011-04-21,0.0
2011-04-25,1.5091
2011-04-26,-0.0991
2011-04-27,-0.2976
2011-04-28,0.4975
2011-04-29,-1.5842
2011-05-02,-1.6097000000000001
2011-05-03,0.5112
2011-05-04,-0.8138
2011-05-05,1.5385
2011-05-06,-0.9091
2011-05-09,0.5097
2011-05-10,0.4057
2011-05-11,-1.0101
2011-05-12,-0.7143
2011-05-13,-0.1028
2011-05-16,-1.5432000000000001
2011-05-17,-2.8213
2011-05-18,-0.5376
2011-05-19,0.4324
2011-05-20,3.9828
2011-05-23,-1.1387
2011-05-24,0.5236
2011-05-25,1.5625
2011-05-26,3.1795
2011-05-27,-0.1988
2011-05-31,0.2988
2011-06-01,-2.4826
2011-06-02,0.4073
2011-06-03,0.0
2011-06-06,-0.3043
2011-06-07,0.2035
2011-06-08,0.0
2011-06-09,-1.4213
2011-06-10,-0.309
2011-06-13,3.9256
2011-06-14,0.497
2011-06-15,-3.1652
2011-06-16,1.6343
2011-06-17,-2.0101
2011-06-20,0.2051
2011-06-21,2.6612
2011-06-22,-2.991
2011-06-23,0.8222
2011-06-24,3.9755000000000003
2011-06-27,-0.7843
2011-06-28,-0.3953
