ticker,PDLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-02,49.0
2017-10-03,-1.0067
2017-10-04,-0.4068
2017-10-05,2.3826
2017-10-06,-0.0665
2017-10-09,-0.2661
2017-10-10,0.0
2017-10-11,-0.4003
2017-10-12,0.067
2017-10-13,-0.5355
2017-10-16,0.2692
2017-10-17,-0.3356
2017-10-18,-0.1347
2017-10-19,0.8092
2017-10-20,0.0
2017-10-23,0.3344
2017-10-24,-0.0667
2017-10-25,-0.4003
2017-10-26,0.4019
2017-10-27,0.3336
2017-10-30,-0.266
2017-10-31,0.3333
2017-11-01,-0.3322
2017-11-02,0.4
2017-11-03,-0.3984
2017-11-06,0.3333
2017-11-07,-0.1329
2017-11-08,0.1996
2017-11-09,-0.0664
2017-11-10,0.0664
2017-11-13,-0.0671
2017-11-14,0.0007
2017-11-15,0.0664
2017-11-16,0.8632
2017-11-17,0.9217
2017-11-20,0.0652
2017-11-21,2.5423999999999998
2017-11-22,0.5722
2017-11-24,1.1378
2017-11-27,3.9375
2017-11-28,0.9621
2017-11-29,-0.536
2017-11-30,-0.479
2017-12-01,-0.6017
2017-12-04,-1.0291
2017-12-05,-1.5291000000000001
2017-12-06,-0.3106
2017-12-07,0.6231
2017-12-08,-1.0526
2017-12-11,0.3129
2017-12-12,-2.932
2017-12-13,-1.671
2017-12-14,-0.915
2017-12-15,-0.8575
2017-12-18,0.7319
2017-12-19,-0.7926
2017-12-20,0.0
2017-12-21,1.0652
2017-12-22,-0.1318
2017-12-26,0.066
2017-12-27,0.5274
2017-12-28,1.1803
2017-12-29,-1.6202
2018-01-02,-0.2635
2018-01-03,-0.2642
2018-01-04,-0.9272
2018-01-05,-0.9358
2018-01-08,0.2024
2018-01-09,1.3468
2018-01-10,-0.7309
2018-01-11,0.2677
2018-01-12,0.1335
2018-01-16,0.2
2018-01-17,-0.1331
2018-01-18,0.1332
2018-01-19,0.0665
2018-01-22,0.4654
2018-01-23,0.6618
2018-01-24,-0.0986
2018-01-25,0.1645
2018-01-26,-0.5256
2018-01-29,-0.0661
2018-01-30,-0.0661
2018-01-31,0.1984
2018-02-01,-0.33
2018-02-02,-0.5298
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,-0.466
2018-02-08,-1.0033
2018-02-09,-1.3514
2018-02-12,1.0274
2018-02-13,0.0678
2018-02-14,1.2873
2018-02-15,-1.2709
2018-02-16,0.6775
2018-02-20,-0.4038
2018-02-21,-1.6892
2018-02-22,0.378
2018-02-23,-0.0342
