ticker,CYH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-09,5.2885
2000-06-12,5.4795
2000-06-13,-1.7316
2000-06-14,-1.3216
2000-06-15,0.4464
2000-06-16,0.0
2000-06-19,7.1111
2000-06-20,3.3195
2000-06-21,-2.008
2000-06-22,0.8197
2000-06-23,-3.252
2000-06-26,4.6218
2000-06-27,2.008
2000-06-28,0.0
2000-06-29,-2.3622
2000-06-30,4.4355
2000-07-03,-2.3166
2000-07-05,2.3715
2000-07-06,-0.3861
2000-07-07,1.5504
2000-07-10,2.6718
2000-07-11,1.1152
2000-07-12,4.4118
2000-07-13,4.9296
2000-07-14,-3.3557
2000-07-17,1.0417
2000-07-18,0.3436
2000-07-19,-5.4795
2000-07-20,-2.1739
2000-07-21,3.7037
2000-07-24,1.0714
2000-07-25,-0.7067
2000-07-26,5.3381
2000-07-27,-4.0541
2000-07-28,-2.1127
2000-07-31,-0.7194
2000-08-01,5.0725
2000-08-02,0.3448
2000-08-03,3.4364
2000-08-04,0.9967
2000-08-07,2.6316
2000-08-08,2.8846
2000-08-09,3.7382999999999997
2000-08-10,-2.7027
2000-08-11,-0.6173
2000-08-14,1.2422
2000-08-15,-0.3067
2000-08-16,-5.5385
2000-08-17,0.9772
2000-08-18,-3.871
2000-08-21,-8.7248
2000-08-22,18.3824
2000-08-23,0.6211
2000-08-24,-4.321
2000-08-25,3.871
2000-08-28,-3.4161
2000-08-29,4.1801
2000-08-30,4.0123
2000-08-31,12.7596
2000-09-01,-1.8420999999999998
2000-09-05,1.3405
2000-09-06,2.3810000000000002
2000-09-07,-4.9096
2000-09-08,2.1739
2000-09-11,1.0638
2000-09-12,16.3158
2000-09-13,-5.8824
2000-09-14,3.125
2000-09-15,-2.0979
2000-09-18,-1.9048
2000-09-19,4.6117
2000-09-20,-1.1601
2000-09-21,2.8169
2000-09-22,9.589
2000-09-25,-3.9583
2000-09-26,-0.6508
2000-09-27,1.31
2000-09-28,3.2328
2000-09-29,7.3069
2000-10-02,3.6965
2000-10-03,0.5629
2000-10-04,-9.8881
2000-10-05,-3.9337
2000-10-06,-5.6034
2000-10-09,-2.7397
2000-10-10,2.8169
2000-10-11,2.5114
2000-10-12,3.5635
2000-10-13,-1.2903
2000-10-16,0.6536
2000-10-17,1.7316
2000-10-18,2.9787
2000-10-19,-3.719
2000-10-20,-1.2876
2000-10-23,1.3043
2000-10-24,2.5751
2000-10-25,0.2092
2000-10-26,1.8789
2000-10-27,-9.2213
