ticker,ROCAF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-08,-12.9252
2003-10-14,11.7187
2003-10-27,-9.0909
2003-10-31,15.3846
2003-11-07,-11.3333
2003-12-02,46.6165
2003-12-08,-5.641
2003-12-15,0.0
2003-12-17,-7.6087
2003-12-30,-5.8824
2004-01-15,15.625
2004-04-28,20.5405
2004-08-11,-33.1839
2004-08-12,-9.396
2004-09-27,77.7778
2004-11-18,-27.0833
2004-12-07,19.5357
2004-12-10,-3.8243
2004-12-14,34.2032
2004-12-15,-11.1111
2004-12-16,8.3333
2004-12-17,-7.6923
2004-12-20,20.8333
2004-12-21,0.0
2004-12-22,0.0
2005-01-05,13.7931
2005-01-06,-3.0303
2005-01-07,0.0
2005-01-10,1.5625
2005-01-11,4.6154
2005-01-12,-1.4706000000000001
2005-01-14,-10.1493
2005-01-18,-0.3322
2005-01-20,-3.3333
2005-01-24,27.5862
2005-01-28,-18.9189
2005-02-01,-3.6667
2005-02-03,-6.5744
2005-02-07,14.8148
2005-02-18,-9.6774
2005-02-22,8.9286
2005-02-23,-4.918
2005-03-01,3.1034
2005-03-02,22.0736
2005-03-03,-20.5479
2005-04-11,-10.3448
2005-04-12,-21.1538
2005-04-15,-0.9756
2005-04-19,-10.9914
2005-05-31,9.028
2005-07-19,6.599
2005-08-12,-1.4285999999999999
2005-08-31,-13.0435
2005-09-16,0.0
2005-09-19,1.6667
2005-09-30,25.1366
2005-10-04,-4.3668
2005-10-07,0.9989
2005-10-12,-5.0579
2005-10-17,10.9524
2005-10-18,-1.2876
2005-10-31,-14.5652
2005-11-03,-3.3079
2005-11-04,10.526299999999999
2005-11-09,4.7619
2005-11-10,0.0
2005-11-11,18.1818
2005-11-14,-3.8462
2005-11-15,14.0
2005-11-16,7.3684
2005-11-17,0.0
2005-11-18,-1.9607999999999999
2005-11-21,3.3333
2005-11-23,-7.4193999999999996
2005-11-28,4.5296
2005-11-29,0.0
2005-11-30,3.3333
2005-12-05,-4.8387
2005-12-06,5.0847
2005-12-07,6.4516
2005-12-08,0.0
2005-12-09,1.5152
2005-12-12,4.4776
2005-12-13,-1.4285999999999999
2005-12-14,0.0
2005-12-15,-1.1594
2005-12-19,-10.2639
2005-12-20,-1.9607999999999999
2005-12-21,0.0
2005-12-22,-1.6667
2005-12-23,5.0847
2005-12-28,6.129
2005-12-29,-2.7356
2005-12-30,0.3125
2006-01-03,-6.5421
2006-01-04,1.6667
2006-01-05,0.6557
2006-01-06,-3.9088000000000003
