ticker,NRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-24,0.0
2013-05-28,0.3
2013-05-29,-9.1725
2013-05-30,-8.1229
2013-05-31,-2.3297
2013-06-03,-5.1988
2013-06-04,-14.3226
2013-06-05,-6.1747
2013-06-06,3.2904999999999998
2013-06-07,6.3714
2013-06-10,3.5061999999999998
2013-06-11,-3.3874
2013-06-12,3.2871
2013-06-13,2.0509
2013-06-14,-0.6237
2013-06-17,-5.4393
2013-06-18,14.0855
2013-06-19,7.6923
2013-06-20,10.4442
2013-06-21,-8.4239
2013-06-24,-4.5104
2013-06-25,0.3729
2013-06-26,3.5913
2013-06-27,3.5266
2013-06-28,3.9261
2013-07-01,-4.5556
2013-07-02,-2.2119
2013-07-03,-0.0595
2013-07-05,2.7397
2013-07-08,-1.913
2013-07-09,0.9456
2013-07-10,0.1756
2013-07-11,0.4091
2013-07-12,-0.2328
2013-07-15,2.5671
2013-07-16,1.3083
2013-07-17,1.0668
2013-07-18,0.1667
2013-07-19,0.3882
2013-07-22,-1.1602000000000001
2013-07-23,1.1179000000000001
2013-07-24,-0.6081
2013-07-25,-0.1112
2013-07-26,-0.0557
2013-07-29,-0.2786
2013-07-30,0.5587
2013-07-31,-0.1111
2013-08-01,0.0556
2013-08-02,-2.1123
2013-08-05,1.0789
2013-08-06,2.3034
2013-08-07,-1.318
2013-08-08,-2.3929
2013-08-09,1.1973
2013-08-12,-1.9155
2013-08-13,0.5744
2013-08-14,-0.8567
2013-08-15,-1.3825
2013-08-16,-4.6729
2013-08-19,-0.5515
2013-08-20,0.801
2013-08-21,-0.1834
2013-08-22,2.6332
2013-08-23,-0.895
2013-08-26,0.1204
2013-08-27,-0.7817
2013-08-28,-0.6061
2013-08-29,0.8537
2013-08-30,-0.9069
2013-09-03,1.4033
2013-09-04,1.5644
2013-09-05,-2.1327
2013-09-06,-2.6634
2013-09-09,2.7984999999999998
2013-09-10,-1.3914
2013-09-11,-2.2699
2013-09-12,0.0
2013-09-13,7.6585
2013-09-16,-5.8309
2013-09-17,-0.4334
2013-09-18,4.9129000000000005
2013-09-19,-1.4819
2013-09-20,1.2034
2013-09-23,2.6754
2013-09-24,0.9265
2013-09-25,0.6885
2013-09-26,1.2536
2013-09-27,1.4069
2013-09-30,4.495
2013-10-01,-1.009
2013-10-02,-1.9313
2013-10-03,-1.5316999999999998
2013-10-04,0.2778
2013-10-07,-2.4931
2013-10-08,-2.1023
2013-10-09,3.5984
2013-10-10,0.7843
