ticker,RMHB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-08,-75.0
2000-09-19,1500.0
2000-09-20,0.0
2000-09-21,0.0
2000-09-22,0.0
2000-09-25,-25.0
2000-09-26,-33.3333
2000-10-17,-50.0
2000-11-10,150.0
2000-12-04,-20.0
2000-12-21,25.0
2000-12-26,15.0
2000-12-28,4.3478
2001-01-26,0.0
2001-01-30,33.3333
2001-01-31,-2.5
2001-02-22,2.5641
2001-02-23,-25.5
2001-03-06,25.8389
2001-03-08,0.0
2001-03-27,0.0
2001-04-18,0.0
2001-04-20,-60.0
2001-04-23,150.0
2001-05-30,0.0
2001-07-18,0.0
2001-08-23,0.0
2002-01-07,-60.0
2002-07-25,-59.3333
2002-10-10,-16.3934
2003-05-21,-50.9804
2004-06-14,28.0
2004-06-15,9.375
2004-07-20,-14.2857
2005-02-14,6.6667
2005-02-17,-21.875
2005-02-22,0.0
2005-05-27,-20.0
2005-09-09,0.0
2006-05-05,175.0
2006-06-19,-72.7273
2006-08-09,-66.6667
2006-09-27,40.0
2006-11-07,-57.1429
2007-01-04,0.0
2007-01-30,133.3333
2007-03-07,-57.1429
2007-04-30,66.6667
2007-05-02,-40.0
2007-05-17,-33.3333
2007-06-08,50.0
2007-10-30,1400.0
2007-11-09,-77.7778
2007-11-16,0.0
2007-12-05,-20.0
2007-12-14,-50.0
2008-01-14,-50.0
2008-02-21,0.0
2008-03-03,0.0
2008-03-11,0.0
2008-04-01,0.0
2008-04-22,0.0
2008-06-13,150.0
2008-06-19,0.0
2008-06-27,0.0
2008-07-18,-10.0
2008-10-01,-33.3333
2008-10-14,66.6667
2008-10-20,-40.0
2009-01-22,33.3333
2009-01-30,-92.5
2009-03-03,900.0
2009-04-03,46.6667
2009-04-08,-9.0909
2009-04-20,0.0
2009-04-21,2.5
2009-04-22,2.439
2009-04-24,2.3810000000000002
2009-04-27,-4.6512
2009-04-28,4.878
2009-04-29,11.6279
2009-04-30,0.0
2009-05-01,-6.25
2009-05-04,-8.8889
2009-05-05,-0.2744
2009-05-06,-2.1706
2009-05-07,23.75
2009-05-08,-9.0909
2009-05-11,2.2222
2009-05-12,6.5217
2009-05-13,-18.3673
2009-05-14,7.5
2009-05-15,11.6279
2009-05-18,-6.25
2009-05-19,0.0
2009-05-20,-11.1111
2009-05-21,-20.0
2009-05-22,-12.5
2009-05-26,-10.7143
2009-05-27,-20.0
2009-05-28,0.0
2009-05-29,0.0
2009-06-01,0.0
2009-06-02,-14.5
