ticker,BATL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-26,46.3415
2019-12-27,-16.6
2019-12-30,-0.1599
2019-12-31,7.6861
2020-01-03,18.9591
2020-01-06,-6.1875
2020-01-07,-0.0666
2020-01-08,5.0
2020-01-09,-4.7619
2020-01-10,0.0
2020-01-13,-1.3333
2020-01-14,-2.027
2020-01-15,-3.4483
2020-01-16,6.4286
2020-01-17,0.0
2020-01-21,-11.4094
2020-01-22,6.0606
2020-01-23,-7.0714
2020-01-24,7.6095
2020-01-27,-7.1429
2020-01-29,0.0
2020-01-31,-15.2308
2020-02-03,16.7877
2020-02-04,-2.8749000000000002
2020-02-05,-12.0
2020-02-06,0.0
2020-02-07,8.4545
2020-02-10,-7.7955
2020-02-11,10.0
2020-02-12,-1.6529
2020-02-13,-7.563
2020-02-14,8.1818
2020-02-18,-3.7815
2020-02-19,0.0
2020-02-20,3.8699
2020-02-21,-0.3624
2020-02-24,-7.173
2020-02-25,-5.3636
2020-02-26,-8.9817
2020-02-27,-11.3456
2020-02-28,-10.9524
2020-03-02,10.2941
2020-03-03,-3.0909
2020-03-04,3.6898
2020-03-05,-3.4981999999999998
2020-03-06,0.0
2020-03-09,-31.25
2020-03-10,-18.7273
2020-03-11,-11.4094
2020-03-12,-10.5177
2020-03-13,-9.4116
2020-03-16,-11.215
2020-03-17,-21.0526
2020-03-18,8.4444
2020-03-19,0.0
2020-03-20,-5.3279
2020-03-23,6.4459
2020-03-24,17.5322
2020-03-25,-10.0346
2020-03-26,115.7692
2020-03-27,-1.6042999999999998
2020-03-30,-19.7464
2020-03-31,5.5305
2020-04-01,-6.7379999999999995
2020-04-02,8.0275
2020-04-03,2.3355
2020-04-06,-2.4896
2020-04-07,-7.8723
2020-04-08,3.9261
2020-04-09,22.2222
2020-04-13,-1.4545
2020-04-14,-4.2435
2020-04-15,-6.3584
2020-04-16,3.9095
2020-04-17,-2.9703
2020-04-20,-1.4285999999999999
2020-04-21,-0.8178
2020-04-22,-0.8454
2020-04-23,5.0526
2020-04-24,-0.4008
2020-04-27,-0.4024
2020-04-28,-2.0202
2020-04-29,0.0
2020-04-30,1.0309
2020-05-01,-3.9816000000000003
2020-05-04,-0.1041
2020-05-05,7.4468
2020-05-06,-2.9703
2020-05-07,-2.0408
2020-05-08,-1.0417
2020-05-11,-4.2105
2020-05-12,2.1978
2020-05-13,-2.7957
2020-05-14,1.7699
2020-05-15,2.1739
2020-05-18,-7.234
2020-05-19,8.0275
2020-05-20,-1.2739
2020-05-21,5.1613
2020-05-22,3.681
2020-05-26,7.6923
2020-05-27,4.3956
2020-05-28,3.5088
2020-05-29,-1.8643999999999998
2020-06-01,-0.8636
2020-06-02,2.7875
2020-06-03,5.4237
2020-06-04,0.0
2020-06-05,6.1093
2020-06-08,44.5455
2020-06-09,-2.0964
2020-06-10,0.0
2020-06-11,-3.0514
2020-06-12,6.571
2020-06-15,8.8083
2020-06-16,3.5238
2020-06-17,-2.0239
2020-06-18,7.0423
2020-06-19,-10.614
2020-06-22,7.6546
2020-06-23,1.3674
2020-06-24,-2.8777
2020-06-25,-7.5926
2020-06-26,-5.2104
2020-06-29,-2.7484
2020-06-30,3.2609
2020-07-01,-2.1053
2020-07-02,-0.3226
2020-07-06,0.6472
2020-07-07,-6.2165
2020-07-08,-2.8571
2020-07-09,-6.8235
2020-07-10,-2.399
2020-07-13,-6.5977
2020-07-14,2.4931
2020-07-15,5.0
2020-07-16,8.7516
2020-07-17,-4.142
2020-07-20,-3.0864
2020-07-21,5.9873
2020-07-22,2.2837
2020-07-23,1.5276
2020-07-24,0.1157
2020-07-27,0.6936
2020-07-28,-2.5258000000000003
2020-07-29,10.9541
2020-07-30,-4.2463
2020-07-31,-4.3237
