ticker,SONA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-02,4.1693999999999996
2006-11-03,0.0625
2006-11-06,5.7
2006-11-07,0.6977
2006-11-08,-0.1762
2006-11-09,0.0
2006-11-10,-1.4706000000000001
2006-11-13,1.4925
2006-11-14,0.0
2006-11-15,0.0
2006-11-16,0.0
2006-11-17,-1.4706000000000001
2006-11-20,1.4925
2006-11-21,-0.8235
2006-11-24,0.8304
2006-11-27,-1.4706000000000001
2006-11-28,-0.2985
2006-11-29,1.7365
2006-11-30,-0.5297
2006-12-01,0.5917
2006-12-04,-1.9412
2006-12-05,1.0798
2006-12-06,-1.1276
2006-12-07,-0.06
2006-12-08,0.9009
2006-12-11,-0.8929
2006-12-12,0.0
2006-12-13,0.0
2006-12-14,-1.4414
2006-12-15,-0.4631
2006-12-18,0.7102
2006-12-19,0.304
2006-12-20,0.6061
2006-12-21,0.0
2006-12-27,0.0
2006-12-28,0.0
2006-12-29,0.0
2007-01-03,-0.6024
2007-01-04,-1.2727
2007-01-05,1.2891
2007-01-08,0.6061
2007-01-09,-0.4217
2007-01-10,0.121
2007-01-12,0.9063
2007-01-16,0.1198
2007-01-17,-1.9139
2007-01-19,-0.3049
2007-01-22,-0.3058
2007-01-23,-0.2454
2007-01-24,-0.369
2007-01-25,0.0
2007-01-26,0.0
2007-01-29,-0.3086
2007-01-30,0.6192
2007-01-31,-0.3077
2007-02-01,-0.5556
2007-02-02,-0.1862
2007-02-05,-0.995
2007-02-06,0.5025
2007-02-07,0.0
2007-02-08,-0.8125
2007-02-09,-1.7013
2007-02-12,2.1795
2007-02-13,-1.0665
2007-02-14,1.5219
2007-02-15,-0.0625
2007-02-20,-1.25
2007-02-21,1.2658
2007-02-22,-1.25
2007-02-23,-0.5063
2007-02-26,0.3181
2007-02-27,1.7121
2007-02-28,-0.9975
2007-03-01,-0.8186
2007-03-05,0.0
2007-03-06,1.2698
2007-03-07,-1.2539
2007-03-08,0.0
2007-03-09,-0.3175
2007-03-12,0.3185
2007-03-13,0.3175
2007-03-14,0.0
2007-03-15,-0.5285
2007-03-16,-1.5048
2007-03-19,1.292
2007-03-20,-0.3189
2007-03-21,0.7678
2007-03-22,-2.5397
2007-03-23,0.9772
2007-03-26,0.0
2007-03-27,0.6452
2007-03-28,0.5769
2007-03-30,-0.2549
2007-04-02,-0.7412
2007-04-03,-0.5407
2007-04-04,1.4231
2007-04-09,0.1922
2007-04-10,0.2898
2007-04-12,-0.6065
2007-04-13,-0.2556
