ticker,WHLR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-19,14.2857
2012-11-20,1.8333
2012-11-21,0.1637
2012-11-23,-1.9607999999999999
2012-11-26,-1.0
2012-11-27,-1.5152
2012-11-28,2.5641
2012-11-29,-0.3479
2012-11-30,0.3491
2012-12-03,-1.1667
2012-12-04,1.1804000000000001
2012-12-05,-2.3333
2012-12-06,-1.0239
2012-12-07,2.9138
2012-12-10,-0.9884
2012-12-11,0.5076
2012-12-12,-1.5173
2012-12-13,-0.5107
2012-12-14,0.1718
2012-12-17,-0.5146
2012-12-18,0.0
2012-12-19,2.5862
2012-12-20,-0.8403
2012-12-21,-1.6949
2012-12-24,0.1724
2012-12-27,2.3903
2012-12-28,0.1716
2012-12-31,4.2301
2013-01-02,0.0
2013-01-03,-2.5974
2013-01-04,-0.3333
2013-01-07,0.834
2013-01-08,-0.4954
2013-01-09,0.0167
2013-01-10,-0.352
2013-01-11,1.1727
2013-01-14,-0.6612
2013-01-15,0.0
2013-01-16,2.995
2013-01-17,-2.7464
2013-01-18,0.4983
2013-01-22,-0.3306
2013-01-23,0.6633
2013-01-24,-0.4942
2013-01-25,0.1656
2013-01-28,0.0
2013-01-29,0.1653
2013-01-30,0.9076
2013-01-31,-0.8224
2013-02-01,0.3317
2013-02-04,0.8264
2013-02-05,-0.4918
2013-02-06,-0.9885
2013-02-07,0.1685
2013-02-08,-0.0021
2013-02-11,0.3322
2013-02-12,0.3311
2013-02-13,-0.165
2013-02-14,0.0
2013-02-15,0.8264
2013-02-19,-0.002
2013-02-20,-0.3238
2013-02-21,-0.9889
2013-02-22,0.0
2013-02-25,-0.6645
2013-02-26,0.3344
2013-02-27,0.75
2013-02-28,-0.1664
2013-03-01,0.0
2013-03-04,0.1667
2013-03-05,0.0
2013-03-06,0.6656
2013-03-07,0.0
2013-03-08,-0.4938
2013-03-11,-0.0021
2013-03-12,0.8306
2013-03-13,-0.8237
2013-03-14,0.0
2013-03-15,-0.3322
2013-03-18,0.1667
2013-03-19,0.0
2013-03-20,1.1647
2013-03-21,-1.102
2013-03-22,-0.2162
2013-03-25,0.1667
2013-03-26,0.416
2013-03-27,1.0
2013-03-28,-0.9901
2013-04-01,0.2917
2013-04-02,-0.2908
2013-04-03,0.1667
2013-04-04,0.1664
2013-04-05,0.4983
2013-04-08,0.3306
2013-04-09,-0.659
2013-04-10,-0.3317
2013-04-11,0.0
2013-04-12,0.9817
2013-04-15,-1.1369
2013-04-16,0.3333
