ticker,CBBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-21,0.7984
2012-02-23,23.7624
2012-02-29,0.0
2012-03-01,12.0
2012-03-20,14.2857
2012-03-27,133.5938
2012-03-30,-49.8328
2012-04-03,66.6667
2012-04-10,2.0
2012-04-11,0.0
2012-04-12,-21.5686
2012-04-13,30.0
2012-04-18,-42.3077
2012-04-24,23.3333
2012-04-26,21.6216
2012-04-30,-6.6667
2012-05-15,-4.7619
2012-06-04,25.0
2012-06-05,-4.0
2012-06-12,-17.0833
2012-06-14,-24.6231
2012-06-25,-32.6667
2012-07-13,73.2673
2012-07-16,0.0
2012-07-20,0.0
2012-07-23,5.7143
2012-07-25,0.0
2012-07-26,1.6216
2012-07-27,-28.1915
2012-07-30,-8.8009
2012-08-03,62.4448
2012-08-08,12.5
2012-08-15,0.0
2012-08-27,4.0
2012-08-29,13.2479
2012-09-13,-24.9057
2012-09-14,19.598
2012-09-18,-5.4622
2012-10-03,-46.6667
2012-10-04,4.1667
2012-10-05,2.4
2012-10-08,-2.3437
2012-10-11,3.2
2012-10-12,-10.0775
2012-10-15,-10.3448
2012-10-17,7.6923
2012-10-19,-7.1429
2012-11-13,1.9231
2012-11-14,1.8868
2012-11-21,-6.4815
2012-11-23,0.0
2012-11-26,0.0
2012-11-27,0.0
2012-11-28,19.802
2012-11-29,-5.7851
2012-11-30,0.0
2012-12-03,8.7719
2012-12-05,-39.5161
2012-12-06,21.3333
2012-12-11,-41.7582
2012-12-12,88.6792
2012-12-19,-84.4
2012-12-20,220.5128
2012-12-21,102.0
2012-12-24,-0.9901
2012-12-31,7.0
2013-01-30,-6.5421
2013-01-31,24.0
2013-02-08,-63.7097
2013-02-14,122.2222
2013-02-21,-60.0
2013-03-07,95.0
2013-04-09,-6.4103
2013-04-17,36.9863
2013-06-18,0.0
2013-06-19,-41.0
2013-06-20,69.4915
2013-06-25,0.0
2013-06-27,0.0
2013-06-28,5.0
2013-07-01,-4.7619
2013-07-03,0.0
2013-07-15,-15.0
2013-07-16,1.1764999999999999
2013-07-17,7.6599
2013-07-18,8.0059
2013-07-19,-24.0
2013-07-22,23.6842
2013-07-23,-9.5612
2013-07-25,10.572
2013-07-26,-0.5319
2013-07-30,-0.5481
2013-08-01,-19.344
2013-08-02,16.6667
2013-08-06,-2.8571
2013-08-08,17.647100000000002
2013-08-09,0.0
2013-08-12,-18.9875
2013-08-14,16.016
2013-08-15,0.0
2013-08-16,1.0773
2013-08-19,35.7895
