ticker,UPLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-06,-18.75
2014-11-07,10.8718
2014-11-10,4.4403
2014-11-11,-0.8857
2014-11-12,-1.5192
2014-11-13,-1.9056
2014-11-14,-0.0925
2014-11-17,1.8519
2014-11-18,0.7273
2014-11-19,-1.2635
2014-11-20,-0.3656
2014-11-21,1.1927
2014-11-24,1.0879
2014-11-25,4.0359
2014-11-26,2.2414
2014-11-28,2.0236
2014-12-01,-1.3223
2014-12-02,-2.0101
2014-12-03,0.9402
2014-12-04,-9.4835
2014-12-05,4.3966
2014-12-08,-3.4946
2014-12-09,-2.2284
2014-12-10,-5.0332
2014-12-11,-2.2
2014-12-12,4.499
2014-12-15,-2.8376
2014-12-16,-7.7543
2014-12-17,-1.7467000000000001
2014-12-18,1.1111
2014-12-19,-0.4396
2014-12-22,3.7528
2014-12-23,-3.617
2014-12-24,1.766
2014-12-26,12.1475
2014-12-29,-6.4797
2014-12-30,-1.5512000000000001
2014-12-31,0.4202
2015-01-02,-0.523
2015-01-05,5.6782
2015-01-06,-4.6766
2015-01-07,-0.3653
2015-01-08,1.1001
2015-01-09,-1.5544
2015-01-12,2.0
2015-01-13,-8.1527
2015-01-14,2.1348
2015-01-15,-3.6304
2015-01-16,-0.6849
2015-01-20,-2.069
2015-01-21,0.0
2015-01-22,-1.7606000000000002
2015-01-23,-6.4516
2015-01-26,-0.5109
2015-01-27,3.0809
2015-01-28,0.6227
2015-01-29,-3.0941
2015-01-30,1.1494
2015-02-02,2.2727
2015-02-03,-1.2346
2015-02-04,0.625
2015-02-05,3.8509
2015-02-06,-8.3732
2015-02-09,3.1332
2015-02-10,-3.2911
2015-02-11,-5.1047
2015-02-12,-0.1379
2015-02-13,-0.2762
2015-02-17,-0.6925
2015-02-18,0.4184
2015-02-19,-4.0278
2015-02-20,3.3285
2015-02-23,-1.6806999999999999
2015-02-24,-0.4274
2015-02-25,-1.7167
2015-02-26,3.4934
2015-02-27,-0.8439
2015-03-02,1.5603
2015-03-03,-0.5587
2015-03-04,1.6854
2015-03-05,1.6575
2015-03-06,-1.6303999999999998
2015-03-09,-1.9337
2015-03-10,-0.4225
2015-03-11,0.4243
2015-03-12,-1.5493000000000001
2015-03-13,-2.5751
2015-03-16,4.2584
2015-03-17,2.1127
2015-03-18,-1.6552
2015-03-19,5.4698
2015-03-20,-3.9894
2015-03-23,-1.662
2015-03-24,3.0986
2015-03-25,1.0929
2015-03-26,2.5676
2015-03-27,-5.6653
