ticker,FFNW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-11,-0.341
2007-10-12,-0.3422
2007-10-15,-1.2017
2007-10-16,0.1738
2007-10-17,-0.2602
2007-10-18,0.3478
2007-10-19,-0.7799
2007-10-22,0.262
2007-10-23,0.1742
2007-10-24,-0.8696
2007-10-25,0.7018
2007-10-26,-0.6098
2007-10-29,-0.2629
2007-10-30,-0.2636
2007-10-31,-0.1762
2007-11-01,-1.2357
2007-11-02,-1.7873
2007-11-05,-0.9099
2007-11-06,0.0918
2007-11-07,-1.8349
2007-11-08,-0.4673
2007-11-09,1.5023
2007-11-12,-0.37
2007-11-13,1.1142
2007-11-14,-0.4591
2007-11-15,-0.9225
2007-11-16,-1.0242
2007-11-19,-0.1881
2007-11-20,-0.5655
2007-11-21,0.0948
2007-11-23,1.3258
2007-11-26,-0.9346
2007-11-27,-0.0943
2007-11-28,-1.322
2007-11-29,-4.7847
2007-11-30,0.201
2007-12-03,0.8024
2007-12-04,0.4975
2007-12-05,-0.6931
2007-12-06,1.4955
2007-12-07,-0.1965
2007-12-10,0.3937
2007-12-11,-0.8824
2007-12-12,-0.0989
2007-12-13,-1.3860999999999999
2007-12-14,0.4016
2007-12-17,-1.1
2007-12-18,-0.4044
2007-12-19,0.5076
2007-12-20,0.0
2007-12-21,1.0101
2007-12-24,0.0
2007-12-26,0.0
2007-12-27,-0.5
2007-12-28,0.201
2007-12-31,-1.3039
2008-01-02,0.6098
2008-01-03,-1.0101
2008-01-04,-3.2653
2008-01-07,-0.8439
2008-01-08,0.4255
2008-01-09,-0.6356
2008-01-10,6.5032
2008-01-11,-4.8048
2008-01-14,2.734
2008-01-15,-4.8106
2008-01-16,2.1505
2008-01-17,-2.5263
2008-01-18,-2.6997999999999998
2008-01-22,0.6659
2008-01-23,1.2128
2008-01-24,5.6645
2008-01-25,-1.134
2008-01-28,1.0428
2008-01-29,-0.4128
2008-01-30,0.0
2008-01-31,1.0363
2008-02-01,2.5641
2008-02-04,0.0
2008-02-05,-3.4
2008-02-06,0.4141
2008-02-07,0.2062
2008-02-08,1.5419
2008-02-11,0.3052
2008-02-12,-0.5051
2008-02-13,-0.9137
2008-02-14,0.7172
2008-02-15,-0.9156
2008-02-19,-0.924
2008-02-20,1.4508
2008-02-21,0.0
2008-02-22,0.715
2008-02-25,-0.7099
2008-02-26,0.9193
2008-02-27,0.3036
2008-02-28,-0.3027
2008-02-29,0.7085
2008-03-03,-0.603
2008-03-04,-0.91
