ticker,BCBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-05-23,3.9604
2002-05-30,23.8095
2002-08-19,-6.5385
2002-08-30,-7.4074
2002-09-05,-8.8889
2002-09-06,0.0
2002-09-09,9.7561
2002-09-24,-2.2222
2002-10-09,-3.6364
2002-10-10,0.0
2002-10-14,5.6604
2002-10-16,0.0
2002-10-21,0.4464
2002-10-24,6.6667
2002-11-06,8.25
2002-11-13,-13.01
2002-11-15,1.7699
2002-11-26,29.5652
2002-12-09,-6.0403
2002-12-16,17.8571
2002-12-17,9.0909
2002-12-18,5.5556
2002-12-23,-3.9474
2002-12-24,-12.3288
2002-12-27,3.125
2003-01-08,15.1515
2003-01-13,7.1053
2003-01-16,2.7027
2003-01-22,-6.5789
2003-01-28,1.4085
2003-02-04,-5.5556
2003-02-06,5.8824
2003-02-14,0.0
2003-02-25,4.1667
2003-02-27,1.3333
2003-02-28,-10.526299999999999
2003-03-20,12.6471
2003-03-21,-7.3107
2003-04-01,-3.5493
2003-04-02,-5.0818
2003-04-09,5.8462
2003-04-10,-2.3256
2003-04-14,0.2976
2003-04-16,-1.1869
2003-04-17,0.0
2003-04-21,-5.4054
2003-04-22,-1.5873
2003-04-23,1.9355
2003-04-24,0.6329
2003-04-25,1.2579
2003-04-30,-2.1739
2003-05-02,1.5873
2003-05-09,-3.75
2003-05-12,3.8961
2003-05-13,0.0
2003-05-19,1.5625
2003-05-23,-8.3077
2003-05-28,0.6711
2003-05-29,0.3333
2003-06-09,2.6578
2003-06-10,0.0
2003-06-20,-3.5599
2003-06-23,0.6711
2003-06-24,-0.3333
2003-06-25,-1.3378
2003-07-01,1.0169
2003-07-15,2.6846
2003-07-16,-1.6993
2003-07-22,6.383
2003-07-30,-2.375
2003-07-31,2.4328
2003-08-07,-0.625
2003-08-12,1.2579
2003-08-13,-0.3106
2003-08-18,0.3115
2003-08-28,-0.6211
2003-09-02,3.125
2003-09-04,-0.6061
2003-09-09,2.439
2003-09-12,0.0
2003-09-16,0.5952
2003-09-17,-0.7692
2003-09-18,1.3715
2003-09-19,0.0
2003-09-22,1.4706000000000001
2003-09-23,0.0
2003-09-25,-1.4493
2003-09-26,0.0
2003-10-09,-0.5882
2003-10-10,-2.3669000000000002
2003-10-14,2.1212
2003-10-15,0.0
2003-10-23,0.8902
2003-10-24,0.0
2003-10-27,-0.5882
2003-10-28,3.5503
2003-10-31,10.0
2003-11-03,0.0
2003-11-04,1.4285999999999999
2003-11-07,1.4085
