ticker,TVPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-07,-16.5714
2007-08-08,-15.0685
2007-08-09,10.8871
2007-08-10,-5.4545
2007-08-13,-15.3846
2007-08-14,0.0
2007-08-15,0.0
2007-08-16,-10.2443
2007-08-17,-1.2471
2007-08-20,-26.1538
2007-08-21,18.0556
2007-08-22,-8.8235
2007-08-23,-15.4839
2007-08-24,3.0534
2007-08-27,-14.8148
2007-08-28,-1.6522000000000001
2007-08-29,18.4792
2007-08-30,-6.7164
2007-08-31,-10.4
2007-09-04,2.6786
2007-09-05,7.8261
2007-09-06,-13.7097
2007-09-07,7.4766
2007-09-10,-4.3478
2007-09-11,8.2727
2007-09-12,-7.6406
2007-09-13,0.0
2007-09-14,6.3636
2007-09-17,0.0
2007-09-18,-10.2564
2007-09-19,-2.2857
2007-09-20,-4.7576
2007-09-21,-5.8523
2007-09-24,8.6957
2007-09-25,0.0
2007-09-26,7.0
2007-09-27,2.8037
2007-09-28,-0.0795
2007-10-01,-0.8302
2007-10-02,0.9174
2007-10-03,-8.1818
2007-10-04,13.8614
2007-10-05,2.6087
2007-10-08,1.6949
2007-10-09,-6.6667
2007-10-10,-5.3571
2007-10-11,-10.3774
2007-10-12,12.8421
2007-10-15,-1.1835
2007-10-16,16.0953
2007-10-17,-16.2474
2007-10-18,4.8544
2007-10-19,1.7593
2007-10-22,-1.7288000000000001
2007-10-23,-7.4074
2007-10-24,3.0
2007-10-25,-4.8726
2007-10-26,6.1045
2007-10-29,4.8455
2007-10-30,5.4014
2007-10-31,-5.1246
2007-11-01,0.9174
2007-11-02,7.2557
2007-11-05,-3.3745
2007-11-06,0.8169
2007-11-08,-8.641
2007-11-09,-9.5238
2007-11-12,-22.4211
2007-11-13,11.2449
2007-11-14,4.894
2007-11-15,-2.3256
2007-11-16,-16.6667
2007-11-19,4.2857
2007-11-20,-2.7568
2007-11-21,-8.4346
2007-11-23,-0.0192
2007-11-26,-15.3683
2007-11-27,-5.4545
2007-11-28,-15.3846
2007-11-29,4.5455
2007-11-30,41.2772
2007-12-03,0.0
2007-12-04,-10.7521
2007-12-05,3.4483
2007-12-06,0.0
2007-12-07,8.3333
2007-12-10,7.6731
2007-12-11,0.0179
2007-12-12,5.7143
2007-12-13,1.3514
2007-12-17,0.0
2007-12-18,0.0
2007-12-19,0.0
2007-12-20,-4.0
2007-12-21,-16.6667
2007-12-24,-38.3333
2007-12-26,48.6486
2007-12-27,6.0
2008-01-02,-5.6604
