ticker,QCCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-16,8.5714
2004-07-19,0.0
2004-07-20,0.9868
2004-07-21,0.3257
2004-07-22,-1.2987
2004-07-23,-0.9868
2004-07-26,1.2625
2004-07-27,-1.6404
2004-07-28,-0.934
2004-07-29,-0.0673
2004-07-30,0.7412
2004-08-02,-5.9532
2004-08-03,-1.4936
2004-08-04,1.083
2004-08-05,-12.5
2004-08-06,1.3061
2004-08-09,0.967
2004-08-10,0.399
2004-08-11,-3.8076
2004-08-12,0.0744
2004-08-13,3.3031
2004-08-16,0.1599
2004-08-17,0.846
2004-08-18,-0.918
2004-08-19,-0.5591
2004-08-20,0.4016
2004-08-23,0.0
2004-08-24,1.2
2004-08-25,4.3478
2004-08-26,4.1667
2004-08-27,-1.8182
2004-08-30,-1.1852
2004-08-31,4.4978
2004-09-01,5.3085
2004-09-02,-0.2725
2004-09-03,-1.0246
2004-09-07,1.4493
2004-09-08,3.0612
2004-09-09,0.198
2004-09-10,1.1199
2004-09-13,2.7362
2004-09-14,-0.8244
2004-09-15,-3.3247999999999998
2004-09-16,0.0661
2004-09-17,4.7588
2004-09-20,0.694
2004-09-21,-0.0627
2004-09-22,-1.8809
2004-09-23,-1.0863
2004-09-24,0.2584
2004-09-27,-1.7397
2004-09-28,3.0164
2004-09-29,2.0369
2004-09-30,-0.6238
2004-10-01,-1.1299
2004-10-04,-0.381
2004-10-05,-0.2549
2004-10-06,-1.0224
2004-10-07,1.0329
2004-10-08,2.2364
2004-10-11,3.125
2004-10-12,4.0606
2004-10-13,-1.5725
2004-10-14,-2.071
2004-10-15,1.8127
2004-10-18,-0.2967
2004-10-19,-3.0357
2004-10-20,4.2971
2004-10-21,-2.7663
2004-10-22,-4.6005
2004-10-25,-3.1726
2004-10-26,-3.2765
2004-10-27,1.355
2004-10-28,1.6042999999999998
2004-10-29,4.8026
2004-11-01,-5.838
2004-11-02,0.8667
2004-11-03,-0.1983
2004-11-04,-0.6623
2004-11-05,1.3333
2004-11-08,0.0
2004-11-09,6.1184
2004-11-10,-0.558
2004-11-11,1.6833
2004-11-12,-0.0613
2004-11-15,0.8589
2004-11-16,0.9124
2004-11-17,2.833
2004-11-18,-1.6999
2004-11-19,-3.5182
2004-11-22,4.1409
2004-11-23,1.4243000000000001
2004-11-24,-0.7607
2004-11-26,0.059
2004-11-29,0.1768
2004-11-30,1.9412
2004-12-01,2.6544
2004-12-02,2.5857
2004-12-03,-0.2795
2004-12-06,0.0604
