ticker,MEPW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-09,20.0
2016-09-12,66.6667
2016-09-15,16.6667
2016-09-21,42.8571
2016-09-29,50.0
2016-10-03,-32.0
2016-10-06,0.0
2016-10-14,7.8431
2016-10-28,-45.4545
2016-10-31,76.6667
2016-11-01,13.2075
2016-11-02,68.3333
2016-11-03,0.0
2016-11-10,-30.6931
2017-01-20,-23.5714
2017-02-01,0.0
2017-02-02,0.0
2017-03-13,0.0
2017-11-20,0.0
2017-12-01,-11.4019
2017-12-05,-47.2574
2018-02-21,400.0
2018-02-22,-4.0
2018-02-23,4.1667
2018-02-26,60.0
2018-03-22,-11.25
2018-03-29,12.6761
2018-04-13,-50.0
2018-04-18,0.0
2019-05-03,70.0
2019-07-03,-41.1765
2019-07-05,0.0
2019-07-17,5.0
2019-07-31,-23.8095
2019-08-06,0.0
2019-10-04,-12.5
2019-11-15,35.7143
2019-12-19,-41.0526
2019-12-26,27.3214
2020-01-03,-28.4712
2020-01-06,0.0
2020-02-04,39.2157
2020-02-18,-1.4085
2020-03-09,-21.4286
2020-05-14,72.7273
2020-05-19,5.2632
2020-06-18,10.0
2020-06-24,81.8182
2020-07-10,-45.0
2020-07-28,-40.9091
