ticker,EV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.8224
2000-01-04,-2.9851
2000-01-05,0.1709
2000-01-06,-0.3413
2000-01-07,1.7123
2000-01-10,3.1987
2000-01-11,-1.4682
2000-01-12,0.1656
2000-01-13,4.6281
2000-01-14,3.4755
2000-01-18,5.1908
2000-01-19,3.9187
2000-01-20,-3.0726
2000-01-21,-3.0259
2000-01-24,-1.7831000000000001
2000-01-25,0.4539
2000-01-26,-1.506
2000-01-27,1.3028
2000-01-28,0.4539
2000-01-31,-1.3554
2000-02-01,3.3588
2000-02-02,4.7267
2000-02-03,-1.1283
2000-02-04,0.0
2000-02-07,-0.5706
2000-02-08,-1.1478
2000-02-09,-2.1771
2000-02-10,-1.4837
2000-02-11,-3.9157
2000-02-14,-3.2915
2000-02-15,1.3068
2000-02-16,-0.97
2000-02-17,0.1616
2000-02-18,-0.9677
2000-02-22,-0.9772
2000-02-23,2.7961
2000-02-24,1.8399999999999999
2000-02-25,1.1783
2000-02-28,1.3975
2000-02-29,1.5314
2000-03-01,1.3575
2000-03-02,0.1488
2000-03-03,0.7429
2000-03-06,-1.7699
2000-03-07,-0.6006
2000-03-08,-3.6254
2000-03-09,4.0752
2000-03-10,-0.3012
2000-03-13,1.3595
2000-03-14,-1.0432
2000-03-15,-1.506
2000-03-16,1.682
2000-03-17,-0.3008
2000-03-20,-0.905
2000-03-21,0.6088
2000-03-22,1.3616
2000-03-23,-1.4925
2000-03-24,-0.7576
2000-03-27,0.458
2000-03-28,-2.5836
2000-03-29,0.78
2000-03-30,1.548
2000-03-31,4.7256
2000-04-03,-1.4556
2000-04-04,-6.4993
2000-04-05,1.8957000000000002
2000-04-06,3.4109
2000-04-07,-0.8996
2000-04-10,-1.5129000000000001
2000-04-11,1.6897
2000-04-12,-0.3021
2000-04-13,0.6061
2000-04-14,-5.2711
2000-04-17,0.6359
2000-04-18,4.8972999999999995
2000-04-19,-1.3554
2000-04-20,-0.7634
2000-04-24,0.0
2000-04-25,1.8462
2000-04-26,-0.2236
2000-04-27,1.9727000000000001
2000-04-28,0.744
2000-05-01,0.5908
2000-05-02,-3.3774
2000-05-03,0.0
2000-05-04,-1.9757
2000-05-05,1.2403
2000-05-08,1.5314
2000-05-09,0.0
2000-05-10,-3.3183
2000-05-11,2.3401
2000-05-12,-0.3049
2000-05-15,1.8349
2000-05-16,3.9039
2000-05-17,1.4451
2000-05-18,2.1368
2000-05-19,-3.0683
2000-05-22,-0.8633
