ticker,CKH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4493
2000-01-04,-1.9607999999999999
2000-01-05,0.75
2000-01-06,0.0
2000-01-07,-0.9926
2000-01-10,-2.2556
2000-01-11,3.4615
2000-01-12,-4.7088
2000-01-13,1.6905000000000001
2000-01-14,0.2558
2000-01-18,2.8061
2000-01-19,1.737
2000-01-20,-1.2195
2000-01-21,0.2469
2000-01-24,-1.601
2000-01-25,0.0
2000-01-26,-0.1252
2000-01-27,-3.6341
2000-01-28,-0.5202
2000-01-31,-3.5294
2000-02-01,0.9485
2000-02-02,0.1342
2000-02-03,-0.2681
2000-02-04,-0.4032
2000-02-07,-0.8097
2000-02-08,-3.1293
2000-02-09,0.8427
2000-02-10,1.532
2000-02-11,-2.6063
2000-02-14,2.8169
2000-02-15,-0.274
2000-02-16,-0.8242
2000-02-17,0.4155
2000-02-18,-0.5517
2000-02-22,2.7739000000000003
2000-02-23,-2.1592000000000002
2000-02-24,5.1034
2000-02-25,-1.0499
2000-02-28,-0.5305
2000-02-29,3.4667
2000-03-01,0.7732
2000-03-02,3.8363
2000-03-03,-2.4631
2000-03-06,2.2727
2000-03-07,3.5802
2000-03-08,-0.3576
2000-03-09,-0.8373
2000-03-10,0.3619
2000-03-13,-2.8846
2000-03-14,0.2475
2000-03-15,-2.2222
2000-03-16,8.0808
2000-03-17,-1.4019
2000-03-20,-4.0284
2000-03-21,1.4815
2000-03-22,6.2044
2000-03-23,-0.5727
2000-03-24,3.2258
2000-03-27,0.8929
2000-03-28,0.6637
2000-03-29,4.1758
2000-03-30,3.7975
2000-03-31,-1.8293
2000-04-03,0.8282
2000-04-04,0.2053
2000-04-05,-1.2295
2000-04-06,1.971
2000-04-07,2.5432
2000-04-10,-1.5873
2000-04-11,-2.4194
2000-04-12,0.0
2000-04-13,-0.5165
2000-04-14,-1.4538
2000-04-17,-0.7376
2000-04-18,0.7431
2000-04-19,1.1591
2000-04-20,-0.2083
2000-04-24,0.2088
2000-04-25,-2.1875
2000-04-26,0.9585
2000-04-27,3.3755
2000-04-28,0.0
2000-05-01,-1.2245
2000-05-02,-1.0331
2000-05-03,-3.2359
2000-05-04,2.9126
2000-05-05,0.6289
2000-05-08,4.1667
2000-05-09,-0.8
2000-05-10,-2.2177
2000-05-11,2.0619
2000-05-12,1.7172
2000-05-15,2.8798
2000-05-16,0.7722
2000-05-17,2.7778
2000-05-18,-3.0755
2000-05-19,-3.5577
2000-05-22,-1.2961
2000-05-23,4.2424
