ticker,PSTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-03,-40.6809
2001-01-26,63.1994
2001-02-13,-24.1758
2001-02-26,-15.3623
2001-02-27,0.411
2001-03-01,-5.3206
2001-03-02,0.0
2001-03-06,4.4669
2001-03-08,-3.4483
2001-03-09,-10.7143
2001-03-15,-10.56
2001-03-16,0.0
2001-03-23,1.2522
2001-03-26,0.0
2001-03-27,19.258
2001-03-28,0.0
2001-03-29,0.0
2001-03-30,-14.8148
2001-04-02,0.0
2001-04-03,0.0
2001-04-09,-12.8696
2001-04-10,-5.1896
2001-04-11,15.7895
2001-04-23,6.3636
2001-04-24,10.9402
2001-04-25,-4.4684
2001-04-27,-3.2258
2001-05-02,8.5833
2001-05-03,-7.9048
2001-05-04,26.3333
2001-05-07,19.1293
2001-05-08,-5.8693
2001-05-09,1.4118
2001-05-11,-4.8724
2001-05-14,-2.439
2001-05-16,0.0
2001-05-17,5.125
2001-05-23,12.9608
2001-05-24,0.0
2001-05-29,0.0
2001-05-30,-2.6316
2001-06-04,3.6757
2001-06-05,-3.5454
2001-06-08,-7.8919
2001-06-21,-17.8404
2001-06-22,4.7143
2001-07-03,-11.3915
2001-07-06,-7.6212
2001-07-09,-2.5
2001-07-10,15.3846
2001-07-11,-12.592600000000001
2001-07-12,1.6949
2001-07-16,2.1667
2001-07-18,-5.0571
2001-07-19,-5.8419
2001-07-20,-3.4672
2001-07-23,-1.1342
2001-07-24,-6.3098
2001-07-25,-1.0204
2001-07-26,6.3918
2001-07-27,23.3721
2001-07-31,-4.1784
2001-08-01,0.0
2001-08-06,-11.4754
2001-08-07,-2.7778
2001-08-09,-4.7619
2001-08-10,0.0
2001-08-13,-20.0
2001-08-14,-1.125
2001-08-15,-1.3906
2001-08-17,-5.6923
2001-08-20,8.7548
2001-08-21,-2.575
2001-08-22,2.6431
2001-09-05,-18.75
2001-09-10,-16.9423
2001-09-20,9.2846
2001-09-25,-4.4068
2001-10-04,25.8865
2001-10-05,0.0
2001-10-08,-12.6761
2001-10-09,14.5161
2001-10-12,-1.4085
2001-10-17,-4.2857
2001-10-22,1.4925
2001-10-23,35.2941
2001-11-08,-11.9565
2001-11-09,1.2346
2001-11-12,-18.2927
2001-11-19,4.4776
2001-11-20,0.0
2001-11-21,-10.7143
2001-11-23,2.4
2001-12-04,4.5313
2001-12-05,1.6442
2001-12-11,16.3235
2001-12-17,-11.5044
2001-12-18,0.7143
2001-12-19,-1.9858
2001-12-28,-7.3806
