ticker,AREXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-08,4.9167
2007-11-09,1.2708
2007-11-12,3.9215999999999998
2007-11-13,-2.6414999999999997
2007-11-14,0.3876
2007-11-15,-2.3166
2007-11-16,-1.0277
2007-11-19,1.3578000000000001
2007-11-20,0.8668
2007-11-21,-1.5625
2007-11-23,2.3810000000000002
2007-11-26,-0.4651
2007-11-27,-1.6355
2007-11-28,0.1584
2007-11-29,0.5534
2007-11-30,1.4151
2007-12-03,-1.0853
2007-12-04,1.4889999999999999
2007-12-05,0.3861
2007-12-06,2.7692
2007-12-07,0.3743
2007-12-10,-2.6846
2007-12-11,-1.9157
2007-12-12,1.0156
2007-12-13,-0.6961
2007-12-14,-0.7788
2007-12-17,0.6672
2007-12-18,1.3635
2007-12-19,-1.5375
2007-12-20,0.8594
2007-12-21,-4.725
2007-12-24,2.7641999999999998
2007-12-26,3.481
2007-12-27,-2.1407
2007-12-28,-1.1719
2007-12-31,1.6601
2008-01-02,1.3997
2008-01-03,-1.6871
2008-01-04,0.156
2008-01-07,0.9346
2008-01-08,-1.6204
2008-01-09,2.3529
2008-01-10,-0.5364
2008-01-11,-1.849
2008-01-14,0.0785
2008-01-15,0.3137
2008-01-16,0.7037
2008-01-17,-5.7453
2008-01-18,-5.3542
2008-01-22,-6.4404
2008-01-23,-0.3721
2008-01-24,3.5481
2008-01-25,-0.1803
2008-01-28,3.9747
2008-01-29,4.2572
2008-01-30,12.5
2008-01-31,13.4815
2008-02-01,-1.6971
2008-02-04,-2.1912
2008-02-05,-1.222
2008-02-06,-4.1237
2008-02-07,0.3584
2008-02-08,-3.5714
2008-02-11,2.7407
2008-02-12,2.6676
2008-02-13,4.9157
2008-02-14,-4.8862
2008-02-15,0.2111
2008-02-19,-0.1404
2008-02-20,0.9845
2008-02-21,-2.1588
2008-02-22,-1.0676
2008-02-25,5.3957
2008-02-26,-2.8669000000000002
2008-02-27,-0.2108
2008-02-28,0.5634
2008-02-29,-2.1709
2008-03-03,1.5748
2008-03-04,-0.1409
2008-03-05,2.6112
2008-03-06,0.0688
2008-03-07,0.9622
2008-03-10,1.5657
2008-03-11,1.8767
2008-03-12,1.3158
2008-03-13,3.1169000000000002
2008-03-14,-2.3929
2008-03-17,0.2581
2008-03-18,2.0592
2008-03-19,-3.2156000000000002
2008-03-20,-0.1303
2008-03-24,2.544
2008-03-25,4.771
2008-03-26,2.6108000000000002
2008-03-27,-1.8935
2008-03-28,-5.7901
2008-03-31,0.3841
