ticker,DNKN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-27,46.5789
2011-07-28,1.939
2011-07-29,1.9021
2011-08-01,2.5233
2011-08-02,-6.4059
2011-08-03,-4.2147
2011-08-04,-4.0241
2011-08-05,5.29
2011-08-08,-4.3543
2011-08-09,6.7315000000000005
2011-08-10,-0.2187
2011-08-11,-0.5115
2011-08-12,-2.3136
2011-08-15,0.1128
2011-08-16,2.178
2011-08-17,1.6171
2011-08-18,-2.7848
2011-08-19,-4.1295
2011-08-22,-0.4269
2011-08-23,1.5199
2011-08-24,1.0749
2011-08-25,-0.4937
2011-08-26,0.3053
2011-08-29,-0.3044
2011-08-30,1.0687
2011-08-31,-0.5287
2011-09-01,2.0881
2011-09-02,0.4091
2011-09-06,0.0741
2011-09-07,-0.7032
2011-09-08,-3.0936
2011-09-09,-3.4615
2011-09-12,0.3187
2011-09-13,0.4369
2011-09-14,1.7003
2011-09-15,1.2636
2011-09-16,3.1292
2011-09-19,2.271
2011-09-20,1.8566
2011-09-21,1.1437
2011-09-22,-3.4629
2011-09-23,3.3675
2011-09-26,3.3286
2011-09-27,-0.9596
2011-09-28,-0.5536
2011-09-29,-2.4008
2011-09-30,-1.2478
2011-10-03,-4.0072
2011-10-04,5.6788
2011-10-05,1.1388
2011-10-06,-0.6334
2011-10-07,-4.4263
2011-10-10,0.3335
2011-10-11,-0.517
2011-10-12,0.7424
2011-10-13,1.7318
2011-10-14,1.4849999999999999
2011-10-17,-1.8558
2011-10-18,-0.3636
2011-10-19,0.7299
2011-10-20,1.413
2011-10-21,-0.7503
2011-10-24,2.9158
2011-10-25,-0.4197
2011-10-26,0.3161
2011-10-27,-1.6106
2011-10-28,-0.7473
2011-10-31,4.3743
2011-11-01,-7.5232
2011-11-02,-2.3774
2011-11-03,-0.5327
2011-11-04,-0.4591
2011-11-07,0.4996
2011-11-08,2.8681
2011-11-09,-1.71
2011-11-10,-1.1346
2011-11-11,-0.8799
2011-11-14,-0.7333
2011-11-15,-0.7387
2011-11-16,0.3525
2011-11-17,-0.1952
2011-11-18,-1.2906
2011-11-21,-0.2377
2011-11-22,0.3177
2011-11-23,-2.1378
2011-11-25,-0.3236
2011-11-28,1.6640000000000001
2011-11-29,0.3992
2011-11-30,0.5964
2011-12-01,-1.1858
2011-12-02,-1.0
2011-12-05,2.3838
2011-12-06,1.105
2011-12-07,-1.3271
2011-12-08,-0.2373
2011-12-09,0.2379
2011-12-12,-0.3956
2011-12-13,-1.1914
