ticker,FELE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2262
2000-01-04,-4.878
2000-01-05,1.0989
2000-01-06,-0.7246
2000-01-07,-0.0912
2000-01-10,0.4566
2000-01-11,0.4545
2000-01-12,0.6335
2000-01-13,-0.4496
2000-01-14,0.0
2000-01-18,-0.3613
2000-01-19,0.816
2000-01-20,0.0
2000-01-21,-0.8094
2000-01-24,0.4533
2000-01-25,0.0
2000-01-26,-1.8051
2000-01-27,0.7353
2000-01-28,0.2737
2000-01-31,0.364
2000-02-01,0.0907
2000-02-02,-3.9855
2000-02-03,0.1887
2000-02-07,-0.1883
2000-02-08,0.0
2000-02-09,0.3019
2000-02-10,1.4151
2000-02-11,-1.0233
2000-02-14,-0.7519
2000-02-15,0.0947
2000-02-16,2.176
2000-02-17,0.0
2000-02-18,-0.7407
2000-02-22,-0.9328
2000-02-23,-0.565
2000-02-24,1.1364
2000-02-25,-1.1236
2000-02-28,-2.2727
2000-02-29,3.2946
2000-03-01,-3.94
2000-03-02,-0.1953
2000-03-03,1.5899999999999999
2000-03-07,6.718
2000-03-08,-1.9856
2000-03-09,-1.3812
2000-03-10,-3.8282
2000-03-13,-0.3883
2000-03-14,-0.1949
2000-03-15,-0.7813
2000-03-16,0.0
2000-03-17,-0.1969
2000-03-20,0.0
2000-03-21,0.1972
2000-03-22,1.0827
2000-03-23,-0.6816
2000-03-24,1.6667
2000-03-27,0.5786
2000-03-28,0.0959
2000-03-29,1.1494
2000-03-30,-3.0303
2000-03-31,-0.1953
2000-04-03,0.2935
2000-04-04,0.0244
2000-04-05,0.1707
2000-04-06,3.5054
2000-04-07,0.4704
2000-04-10,1.2172
2000-04-11,-0.8326
2000-04-12,3.3582
2000-04-13,0.9025
2000-04-14,-0.5367
2000-04-17,2.1583
2000-04-18,-2.4428
2000-04-19,-0.0226
2000-04-20,0.0
2000-04-24,0.361
2000-04-25,1.4388
2000-04-26,0.7092
2000-04-27,-3.5211
2000-04-28,3.8321
2000-05-01,2.2847
2000-05-02,-0.8591
2000-05-03,0.4783
2000-05-04,-0.346
2000-05-05,0.0217
2000-05-08,-1.2367
2000-05-09,-1.5817
2000-05-10,0.1786
2000-05-11,-0.713
2000-05-12,0.4488
2000-05-15,0.5362
2000-05-16,-0.2667
2000-05-17,-3.3868
2000-05-18,-1.107
2000-05-19,0.3731
2000-05-22,-0.0929
2000-05-23,2.6047000000000002
2000-05-24,-3.3545
2000-05-25,-2.0638
2000-05-26,0.0
