ticker,DPGYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-03,-0.7463
2004-11-05,1.0025
2004-11-10,-0.2481
2004-11-17,12.4378
2004-11-18,-2.6549
2004-11-26,22.5
2004-11-29,1.2987
2004-12-01,-18.1319
2004-12-09,-7.83
2004-12-10,18.4466
2004-12-29,27.2951
2005-01-05,-8.0771
2005-01-11,-1.5805
2005-01-14,6.3167
2005-02-09,1.9247
2005-02-14,-0.9031
2005-02-17,10.7498
2005-02-18,-1.2530000000000001
2005-03-07,-5.7576
2005-03-09,1.6077
2005-03-17,-2.7215
2005-03-22,-1.7363
2005-03-24,-4.49
2005-03-30,-9.3241
2005-04-04,6.907
2005-04-05,-1.3476
2005-04-08,-5.0245
2005-04-12,-2.576
2005-04-13,-0.2693
2005-04-28,-1.8068
2005-04-29,-4.36
2005-05-19,-11.3342
2005-05-25,1.3208
2005-05-26,3.3694
2005-05-27,0.8839
2005-05-31,2.2321
2005-06-03,8.952
2005-06-06,5.01
2005-06-07,-5.7252
2005-06-08,3.044
2005-06-09,12.0939
2005-06-14,-0.2213
2005-06-15,-0.2349
2005-06-16,-0.1761
2005-06-21,-5.6327
2005-06-27,8.2117
2005-06-28,-0.5181
2005-07-05,0.9679
2005-07-06,-0.7867
2005-07-11,-1.2132
2005-07-12,2.807
2005-07-15,-2.2867
2005-07-27,6.5316
2005-08-11,19.6721
2005-08-17,-10.4658
2005-08-18,-1.4687999999999999
2005-08-19,2.795
2005-08-22,1.8127
2005-08-23,0.0
2005-08-24,6.0831
2005-08-30,-1.5385
2005-08-31,-3.6364
2005-09-01,1.4151
2005-09-06,0.814
2005-09-07,0.0577
2005-09-09,7.2046
2005-09-12,6.586
2005-09-13,0.5044
2005-09-16,0.8783
2005-09-19,1.7412999999999998
2005-09-21,0.0
2005-09-22,0.7335
2005-09-23,-4.1262
2005-09-26,-4.557
2005-09-27,8.2228
2005-09-28,9.8698
2005-09-29,-0.06
2005-09-30,2.4554
2005-10-03,3.1264
2005-10-04,-3.4092000000000002
2005-10-05,-4.9211
2005-10-06,-1.084
2005-10-07,4.4186
2005-10-11,4.407
2005-10-12,-0.1893
2005-10-13,-7.9932
2005-10-14,0.2323
2005-10-17,2.4334
2005-10-19,-4.7511
2005-10-20,-2.6128
2005-10-21,-1.4634
2005-10-24,5.099
2005-10-25,6.4104
2005-10-26,2.1496
2005-10-27,-5.6876
2005-11-02,-3.0311
2005-11-04,3.0592
2005-11-09,1.1193
2005-11-10,-3.5323
